,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
2,2013106094,3,7,2020/08/09,7294,1,5,11.0,14,3,19.0,8.0,0,0,1116,56.0,2,1700,4,105.9,37.7,584,2,0,0,0,0,0,0,1,0.0
3,2013106094,3,7,2020/06/06,7229,5,5,11.0,10,10,4.0,2.0,0,1,5585,59.0,2,2100,4,130.3,35.5,582,-4,0,0,0,0,0,0,0,553.0
4,2013106094,3,7,2020/05/10,7202,5,6,10.0,16,10,3.1,1.0,0,1,5585,58.0,2,2100,4,130.2,36.0,586,-2,0,0,0,0,0,0,0,584.9
5,2013106094,3,7,2020/02/22,7121,5,5,11.0,16,10,68.1,11.0,0,0,1077,57.0,1,3400,4,213.5,39.4,588,8,0,0,0,0,0,0,1,0.0
6,2013106094,3,6,2019/12/01,7038,7,6,11.0,16,9,20.5,7.0,0,0,5366,57.0,2,1800,4,110.5,37.3,580,6,0,0,0,0,1,0,0,0.0
30,2015103248,3,5,2020/11/14,7392,5,6,11.0,16,9,38.6,9.0,0,0,1115,56.0,2,1600,4,95.9,37.3,536,2,0,0,0,0,0,0,1,0.0
31,2015103248,3,5,2020/10/03,7350,7,5,11.0,16,6,15.1,6.0,0,0,1115,56.0,2,1900,4,118.4,37.7,534,-2,0,0,0,0,0,0,1,360.0
32,2015103248,3,5,2020/08/15,7300,10,6,11.0,15,2,4.7,2.0,0,1,666,57.0,2,1700,4,103.8,37.7,536,-6,0,0,0,0,0,0,0,889.4
33,2015103248,3,5,2020/07/12,7266,2,5,11.0,14,1,15.1,6.0,0,0,1015,56.0,2,1700,4,104.5,38.9,542,2,0,0,0,0,0,0,0,0.0
34,2015103248,3,5,2020/06/28,7251,2,5,11.0,14,10,7.8,4.0,0,0,1015,57.0,2,1700,1,103.3,37.0,540,-4,0,0,0,0,0,0,0,0.0
9,2013103671,3,7,2020/11/29,7407,5,5,12.0,15,14,321.6,13.0,0,0,1025,57.0,1,2400,4,149.2,40.0,486,12,0,0,0,0,1,0,0,0.0
10,2013103671,3,7,2020/07/21,7275,35,6,10.0,14,12,29.3,7.0,0,0,5445,54.0,2,2000,4,125.1,39.2,474,-6,0,0,0,0,0,0,1,0.0
11,2013103671,3,7,2020/07/12,7266,2,5,11.0,14,6,88.5,13.0,0,0,1025,56.0,2,1700,4,106.0,39.7,480,-2,0,0,0,0,0,0,0,0.0
12,2013103671,3,7,2020/06/28,7251,2,5,11.0,14,2,54.3,10.0,0,0,1025,57.0,2,1700,1,104.1,37.2,482,-4,0,0,0,0,0,0,0,0.0
13,2013103671,3,7,2020/05/17,7209,8,6,11.0,16,2,108.1,14.0,0,0,894,56.0,2,1400,2,82.9,36.9,486,2,0,0,0,0,0,0,0,0.0
