,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
22,2009105650,2,6,2015/09/16,5472,44,3,11.0,16,6,2.1,1.0,0,1,5342,59.0,2,2400,4,155.0,39.4,543,-2,1,0,0,0,0,0,0,770.0
24,2011104994,3,5,2016/05/21,5725,8,6,11.0,15,14,2.2,1.0,1,1,1037,58.0,2,1900,4,116.2,37.2,524,-2,0,0,0,0,0,0,1,3657.4
25,2011104994,3,5,2016/04/16,5689,9,6,11.0,16,16,5.3,3.0,0,1,1037,58.0,2,1800,4,110.0,37.4,526,2,0,0,0,0,0,0,1,1416.2
26,2011104994,3,5,2016/02/21,5632,5,6,11.0,16,4,18.1,7.0,0,1,1037,57.0,2,1600,2,94.2,34.9,524,-2,0,0,0,0,1,0,0,2449.2
27,2011104994,3,5,2016/01/24,5604,7,6,11.0,12,6,6.7,4.0,1,1,1037,56.0,2,1800,4,111.9,36.7,526,4,0,0,0,0,0,1,0,5586.8
28,2011104994,3,4,2015/12/20,5569,9,6,10.0,11,6,5.4,3.0,0,1,1037,56.0,2,2000,4,124.0,36.7,522,-4,0,0,0,0,0,0,0,846.8
29,2011104994,3,4,2015/11/08,5526,8,4,11.0,11,7,29.0,8.0,0,0,1037,56.0,2,1800,1,108.3,36.6,526,6,0,0,0,0,0,0,1,560.0
30,2011104994,3,4,2015/05/23,5355,8,5,11.0,16,4,33.0,9.0,0,0,1037,56.0,2,1900,4,118.9,40.1,520,12,0,0,0,0,0,0,1,0.0
5,2009102179,3,7,2016/05/25,5729,30,6,12.0,10,8,2.8,3.0,0,0,5286,57.0,2,2000,4,132.5,44.5,538,-2,0,0,0,0,0,0,0,0.0
6,2009102179,3,7,2016/04/28,5701,30,3,9.0,10,8,1.3,1.0,0,0,5389,58.0,2,1800,4,117.2,42.0,540,10,0,0,0,0,0,0,0,12.5
7,2009102179,3,6,2015/12/29,5578,44,6,10.0,14,1,19.2,5.0,0,0,1019,57.0,2,2000,4,124.6,38.3,530,2,1,0,0,0,1,0,0,400.0
8,2009102179,3,6,2015/12/06,5555,7,5,11.0,16,6,19.8,7.0,0,0,1019,57.0,2,1800,4,111.4,38.2,528,2,0,0,0,0,1,0,0,0.0
9,2009102179,3,6,2015/10/03,5490,9,6,11.0,12,3,4.0,2.0,0,1,5212,58.0,2,2000,3,125.1,36.7,526,2,0,0,0,0,0,0,1,886.6
10,2009102179,3,6,2015/05/23,5355,8,5,11.0,16,3,4.4,2.0,0,0,5212,56.0,2,1900,4,115.5,36.3,524,-4,0,0,0,0,0,0,1,530.0
11,2009102179,3,6,2015/04/18,5319,9,6,11.0,16,4,5.3,2.0,0,1,5212,57.0,2,1800,4,109.7,36.9,528,-4,0,0,0,0,0,0,1,888.2
9,2010104098,3,6,2016/05/21,5725,8,6,11.0,15,6,7.9,4.0,0,1,1088,58.0,2,1900,4,117.0,37.6,502,0,0,0,0,0,0,0,1,908.2
10,2010104098,3,6,2016/04/16,5689,9,6,11.0,16,1,8.9,4.0,0,0,1088,58.0,2,1800,4,110.5,37.4,502,1,0,0,0,0,0,0,1,540.0
11,2010104098,3,6,2016/03/09,5651,43,3,11.0,12,3,1.3,1.0,1,1,666,56.0,2,2400,1,156.4,38.3,501,4,0,0,0,0,0,1,0,3200.0
12,2010104098,3,5,2015/11/03,5521,44,6,10.0,16,1,5.2,2.0,0,0,1088,57.0,2,2000,1,125.2,37.5,497,-3,1,0,0,0,1,0,0,800.0
13,2010104098,3,5,2015/10/07,5494,43,6,11.0,12,6,2.0,2.0,0,1,1088,57.0,2,1800,4,110.8,38.6,500,7,0,0,0,0,0,1,0,1120.0
14,2010104098,3,5,2015/06/24,5387,44,6,11.0,12,5,8.0,4.0,0,1,666,57.0,2,2000,4,122.9,38.9,493,1,1,0,0,0,1,0,0,2100.0
15,2010104098,3,5,2015/05/05,5337,43,6,11.0,10,5,3.7,3.0,0,0,666,57.0,2,1600,4,98.8,38.4,492,-2,0,0,0,0,1,0,0,600.0
23,2010109021,3,6,2016/05/18,5722,44,6,11.0,14,12,40.3,9.0,0,0,5000,52.0,2,2000,2,128.6,38.3,486,1,1,0,0,0,0,0,0,220.0
24,2010109021,3,6,2016/04/19,5692,44,6,12.0,16,6,2.7,1.0,0,1,5342,57.0,2,1800,4,117.5,38.8,485,1,1,0,0,0,0,0,0,75.0
25,2010109021,3,6,2016/03/17,5659,44,6,11.0,15,4,3.0,1.0,0,1,5342,55.0,2,1800,2,115.5,38.6,484,-13,1,0,0,0,0,0,0,96.0
26,2010109021,3,6,2016/02/25,5636,44,6,11.0,16,6,2.4,1.0,0,1,5342,57.0,2,1800,2,116.1,38.8,497,5,1,0,0,0,0,0,0,150.0
27,2010109021,3,6,2016/02/09,5620,44,6,12.0,13,3,5.8,4.0,0,0,5342,57.0,2,1400,4,87.5,37.6,492,-4,1,0,0,0,0,0,0,32.4
28,2010109021,3,5,2015/09/28,5484,44,6,11.0,16,4,2.8,2.0,1,1,5342,55.0,2,1800,2,115.1,38.2,496,2,1,0,0,0,0,0,0,320.0
29,2010109021,3,5,2015/08/15,5440,44,6,11.0,14,9,6.3,4.0,0,1,5342,53.0,2,2000,4,127.1,37.9,494,4,1,0,0,0,0,0,0,138.0
9,2009106613,3,7,2016/05/18,5722,44,6,11.0,14,6,3.3,2.0,0,0,5074,57.0,2,2000,2,128.6,39.2,472,-3,1,0,0,0,0,0,0,110.0
10,2009106613,3,7,2016/02/10,5621,44,6,11.0,16,3,4.5,3.0,1,1,5420,54.0,2,2600,4,170.2,39.3,475,1,1,0,0,0,0,0,0,2200.0
11,2009106613,3,7,2016/01/15,5595,44,6,11.0,13,6,1.7,1.0,1,1,5420,57.0,2,2000,4,128.0,38.2,474,-2,1,0,0,0,0,0,0,460.0
12,2009106613,3,6,2015/12/31,5580,44,6,12.0,10,9,2.1,1.0,1,1,5420,55.0,2,1600,4,101.1,39.0,476,3,1,0,0,0,0,0,0,540.0
13,2009106613,3,6,2015/11/26,5544,44,5,11.0,16,12,2.8,1.0,1,1,5420,57.0,2,1600,1,102.3,38.9,473,-1,1,0,0,0,0,0,0,460.0
14,2009106613,3,6,2015/08/15,5440,44,6,11.0,14,1,6.1,3.0,1,1,5420,55.0,2,2000,4,127.1,38.1,474,-3,1,0,0,0,0,0,0,460.0
15,2009106613,3,6,2015/07/07,5401,44,5,11.0,7,3,6.1,4.0,0,1,5420,55.0,2,1600,1,101.1,38.5,477,-4,1,0,0,0,0,0,0,165.0
5,2011110023,1,5,2016/05/21,5725,8,6,11.0,15,12,15.8,6.0,0,0,1115,56.0,2,1900,4,117.5,37.5,492,8,0,0,0,0,0,0,1,0.0
6,2011110023,1,5,2016/03/02,5644,45,6,11.0,10,5,1.1,1.0,1,1,666,56.0,2,2100,4,138.1,37.4,484,-5,0,0,0,0,0,1,0,3500.0
7,2011110023,1,5,2016/01/27,5607,45,6,11.0,13,2,8.3,3.0,0,1,1115,55.0,2,2100,4,134.9,37.6,489,-6,0,0,0,0,1,0,0,1200.0
8,2011110023,1,4,2015/12/23,5572,48,3,10.0,12,11,3.2,2.0,1,1,1115,55.0,2,2500,3,165.7,37.6,495,4,0,0,0,0,0,1,0,3100.0
9,2011110023,1,4,2015/11/03,5521,44,6,8.0,15,7,5.2,2.0,0,0,1115,55.0,2,1800,1,113.2,40.9,491,-9,1,0,0,0,1,0,0,410.0
10,2011110023,1,4,2015/10/01,5488,44,3,11.0,14,5,2.0,1.0,0,0,1115,56.0,2,1800,3,111.5,37.3,500,0,1,0,0,0,0,1,0,310.0
11,2011110023,1,4,2015/08/13,5438,30,5,10.0,14,7,4.0,4.0,1,1,1115,57.0,2,2000,4,128.1,38.3,500,28,0,0,0,0,0,0,1,2500.0
17,2008101876,3,8,2016/04/28,5701,47,3,10.0,10,7,9.6,3.0,0,1,5536,56.0,2,2500,1,164.8,38.6,482,-10,0,0,0,0,0,0,0,125.0
18,2008101876,3,8,2016/04/10,5683,54,5,7.0,12,8,12.0,4.0,0,1,5536,57.0,2,1900,2,126.1,39.6,492,0,0,0,0,0,0,0,0,15.0
19,2008101876,3,8,2016/03/27,5669,54,6,11.0,9,6,1.5,1.0,0,1,5536,56.0,2,1400,2,91.7,39.1,492,3,0,0,0,0,0,0,0,5.0
20,2008101876,3,8,2016/03/13,5655,55,3,11.0,11,6,19.8,5.0,0,0,5229,56.0,2,2000,1,128.8,37.5,489,-3,0,0,0,0,0,0,0,9.0
21,2008101876,3,8,2016/02/11,5622,55,6,10.0,11,10,504.0,9.0,0,0,5536,56.0,2,2000,4,130.2,38.7,492,-6,0,0,0,0,0,0,1,0.0
22,2008101876,3,8,2016/01/17,5597,54,3,11.0,8,5,4.4,3.0,1,1,5536,56.0,2,1400,2,90.6,39.1,498,0,0,0,0,0,0,0,0,20.0
23,2008101876,3,7,2015/12/31,5580,54,6,8.0,11,2,9.2,4.0,0,1,655984,57.0,2,2400,2,166.2,41.8,498,0,0,0,0,0,0,0,0,37.5
