,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
13,2006106794,3,7,2013/12/01,4806,9,6,11.0,16.0,8,15.7,6.0,0,1,666,57.0,2,1800,4,110.4,35.9,522,3,0,0,0,0,1,0,0,5298.4
14,2006106794,3,7,2013/11/04,4778,46,5,10.0,12.0,12,4.1,2.0,0,1,666,57.0,2,2100,1,133.0,37.0,519,17,0,0,0,0,1,0,0,1840.0
8,2009106697,3,5,2014/11/15,5161,5,6,11.0,16.0,11,9.7,7.0,1,1,666,56.0,2,1600,4,95.2,35.7,478,2,0,0,0,0,0,0,1,3764.4
9,2009106697,3,5,2014/10/13,5128,5,4,11.0,16.0,12,6.7,3.0,1,1,663,56.0,2,1400,3,83.0,35.5,476,-4,0,0,0,0,0,0,0,2039.2
10,2009106697,3,5,2014/09/13,5097,9,6,11.0,13.0,2,4.6,3.0,0,1,666,56.0,2,1400,4,82.7,35.8,480,-6,0,0,0,0,0,0,0,808.2
11,2009106697,3,5,2014/07/13,5035,7,5,11.0,16.0,15,23.4,7.0,0,0,666,56.0,2,1400,3,83.0,35.1,486,0,0,0,0,0,0,0,1,0.0
12,2009106697,3,5,2014/05/31,4991,5,6,11.0,16.0,2,6.6,3.0,0,1,663,56.0,2,1400,4,82.8,34.7,486,-4,0,0,0,0,0,0,0,809.8
13,2009106697,3,5,2014/03/15,4913,9,6,11.0,16.0,12,5.7,3.0,0,1,5212,55.0,2,1400,2,83.2,35.5,490,0,0,0,0,0,0,0,0,505.6
14,2009106697,3,5,2014/02/08,4875,8,5,11.0,15.0,3,10.1,5.0,0,0,666,56.0,2,1400,2,82.2,34.8,490,0,0,0,0,0,0,0,0,300.0
27,2011102128,3,3,2014/11/03,5149,35,5,10.0,16.0,3,13.8,6.0,0,0,1019,55.0,2,2000,2,123.1,34.7,455,1,0,0,0,0,1,0,0,0.0
28,2011102128,3,3,2014/07/09,5031,44,3,11.0,13.0,10,5.1,2.0,1,1,1019,56.0,2,2000,3,123.9,36.5,454,4,1,1,0,0,0,0,0,4500.0
29,2011102128,3,3,2014/05/25,4985,8,6,10.0,11.0,9,3.9,2.0,1,1,1102,56.0,2,1800,4,112.2,35.4,450,-4,0,0,0,0,0,0,0,1826.6
30,2011102128,3,3,2014/05/10,4970,8,6,6.0,9.0,3,4.8,3.0,1,1,1019,56.0,2,1800,4,112.7,36.6,454,-4,0,0,0,0,0,0,0,720.0
31,2011102128,3,3,2014/03/29,4927,9,6,11.0,14.0,3,159.1,13.0,0,0,1026,56.0,1,1800,4,108.4,35.8,458,-2,0,0,0,0,0,0,1,0.0
32,2011102128,3,3,2014/03/16,4914,9,6,1.0,16.0,7,1.3,1.0,1,1,1019,56.0,2,1800,3,115.8,38.0,460,-8,0,0,0,0,0,0,0,500.0
33,2011102128,3,3,2014/02/23,4890,8,6,2.0,15.0,2,3.8,2.0,0,1,1019,56.0,2,1800,4,113.7,37.2,468,4,0,0,0,0,0,0,0,200.0
20,2010100855,3,4,2014/11/09,5155,8,5,11.0,16.0,5,2.6,1.0,0,0,732,57.0,2,1800,4,110.6,37.0,532,2,0,0,0,0,0,0,1,370.0
21,2010100855,3,4,2014/10/04,5119,9,5,11.0,14.0,4,3.0,1.0,1,1,732,57.5,2,2000,4,123.8,35.6,530,2,0,0,0,0,0,0,1,3558.8
22,2010100855,3,4,2014/07/27,5049,1,3,11.0,13.0,10,11.7,5.0,0,1,732,57.0,2,1700,1,101.9,36.3,528,-4,0,0,0,0,0,0,1,1413.0
23,2010100855,3,4,2014/05/24,4984,8,6,11.0,16.0,10,74.9,12.0,1,1,732,56.0,2,1900,4,116.6,36.4,532,6,0,0,0,0,0,0,1,3557.4
24,2010100855,3,4,2014/04/19,4948,9,6,11.0,16.0,15,54.3,9.0,0,0,732,56.0,2,1800,4,113.6,37.8,526,-12,0,0,0,0,0,0,1,0.0
25,2010100855,3,4,2014/03/30,4928,6,4,11.0,16.0,12,30.1,9.0,0,0,1085,55.0,2,1800,2,111.6,38.1,538,2,0,0,0,0,0,0,1,350.0
26,2010100855,3,4,2014/02/15,4882,8,5,11.0,16.0,13,4.0,1.0,0,0,666,55.0,2,1900,1,116.8,39.0,536,-4,0,0,0,0,0,0,0,200.0
15,2008103069,3,6,2014/11/15,5161,5,6,11.0,16.0,3,43.9,11.0,0,1,1043,58.0,2,1600,4,95.8,37.3,524,3,0,0,0,0,0,0,1,939.2
16,2008103069,3,6,2014/09/23,5107,43,6,11.0,10.0,3,4.3,2.0,0,0,1115,57.0,2,1800,4,111.9,38.4,521,-5,0,0,0,0,0,1,0,160.0
17,2008103069,3,6,2014/07/27,5049,1,3,11.0,13.0,5,22.5,7.0,0,0,1102,58.0,2,1700,1,103.8,37.3,526,-12,0,0,0,0,0,0,1,0.0
