,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
6,2005101102,0,0,2013/08/25,4706,0,6,10.0,10,1,0,0,0,0,0,2,1700,3,0,38.8,0,0,0,0,0,0,0,0,0,27.0
7,2005101102,0,0,2013/07/14,4664,0,5,9.0,8,3,0,0,0,0,0,2,1700,1,0,38.5,0,0,0,0,0,0,0,0,0,14.0
8,2005101102,0,0,2013/06/16,4635,0,6,11.0,12,7,0,0,0,0,0,2,2300,4,0,40.6,0,0,0,0,0,0,0,0,0,27.0
12,2005104916,0,0,2013/10/14,4757,0,6,11.0,13,2,0,0,0,0,0,2,1600,4,0,37.1,0,0,0,0,0,0,1,0,0,0.0
13,2005104916,0,0,2013/09/22,4734,0,5,6.0,9,2,0,0,0,0,0,2,1900,3,0,40.2,0,0,0,0,0,0,0,0,0,15.0
14,2005104916,0,0,2013/09/10,4722,0,6,9.0,10,9,0,0,0,0,0,2,2000,4,0,38.9,0,0,0,0,0,0,0,0,0,40.0
15,2005104916,0,0,2013/07/15,4665,0,5,9.0,7,7,0,0,0,0,0,2,1400,4,0,40.4,0,0,0,0,0,0,0,0,0,18.0
16,2005104916,0,0,2013/06/30,4649,0,3,10.0,7,7,0,0,0,0,0,2,1600,1,0,39.1,0,0,0,0,0,0,0,0,0,2.2
8,2007104922,0,0,2013/09/27,4739,0,6,10.0,10,2,0,0,0,0,0,2,1900,4,0,37.1,0,0,0,0,0,0,0,0,0,200.0
9,2007104922,3,6,2013/08/11,4692,10,6,10.0,10,8,65.6,9,0,732,57,1,2000,4,120.8,34.8,500,6,0,0,0,0,0,0,0,0.0
10,2007104922,3,6,2013/07/27,4677,10,6,10.0,13,8,87.6,12,0,1124,54,1,1800,4,105.6,34.4,494,2,0,0,0,0,0,0,0,0.0
11,2007104922,3,6,2013/04/14,4571,9,6,12.0,16,4,44.0,10,0,1146,54,2,2000,4,127.1,40.3,492,0,0,0,0,0,0,0,0,0.0
12,2007104922,3,6,2013/03/24,4550,6,5,9.0,9,1,55.0,9,0,1077,57,1,1800,4,108.8,35.8,492,-2,0,0,0,0,0,0,0,0.0
1,2009102350,0,0,2013/10/08,4751,0,5,10.0,12,11,0,0,0,0,0,2,2100,4,0,37.8,0,0,0,0,0,0,0,0,0,713.0
2,2009102350,0,0,2013/08/15,4696,0,5,11.0,8,2,0,0,0,0,0,2,2000,4,0,37.1,0,0,0,0,0,0,0,1,1,3200.0
3,2009102350,3,4,2013/06/26,4645,44,3,11.0,12,2,9.2,5,0,700,57,2,2000,1,124.0,37.4,502,4,1,0,0,0,1,0,0,600.0
4,2009102350,3,4,2013/05/18,4606,8,6,11.0,16,5,7.9,3,0,700,59,2,1900,4,117.6,36.9,498,6,0,0,0,0,0,0,0,350.0
5,2009102350,3,4,2013/03/13,4539,43,6,11.0,14,11,1.2,1,0,700,55,2,2400,4,155.2,37.4,492,0,0,0,0,0,0,1,1,1120.0
15,2007104608,0,0,2013/10/09,4752,0,6,10.0,9,2,0,0,0,0,0,2,1700,1,0,38.7,0,0,0,0,0,0,0,0,0,12.0
16,2007104608,0,0,2013/08/16,4697,0,6,10.0,12,3,0,0,0,0,0,2,1700,4,0,38.4,0,0,0,0,0,0,0,0,0,35.0
17,2007104608,0,0,2013/07/19,4669,0,6,10.0,12,9,0,0,0,0,0,2,1700,4,0,39.0,0,0,0,0,0,0,0,0,0,90.0
18,2007104608,0,0,2013/06/21,4640,0,3,10.0,10,10,0,0,0,0,0,2,1700,1,0,38.6,0,0,0,0,0,0,0,0,0,3.6
19,2007104608,0,0,2013/05/31,4619,0,6,11.0,12,10,0,0,0,0,0,2,1400,4,0,38.4,0,0,0,0,0,0,0,0,0,5.4
