,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
1,2020104376,3,3,2023/07/12,44,5,11.0,11,6,2.0,1.0,1,5404,57.0,2,2000,4,124.6,38.7,487,4,1,1,0,0,0,0,0,6000.0
2,2020104376,3,3,2023/06/07,44,6,11.0,15,12,1.5,1.0,1,5404,56.0,2,2000,2,124.8,37.0,483,1,1,0,0,0,0,0,0,5000.0
3,2020104376,3,3,2023/05/10,44,6,11.0,16,6,13.6,4.0,1,5404,56.0,2,1800,3,110.9,37.2,482,-16,1,0,0,0,0,0,0,3500.0
4,2020104376,3,2,2022/12/07,44,6,10.0,10,1,2.0,1.0,1,5443,56.0,2,1800,1,114.9,38.4,498,5,1,0,0,0,0,0,0,300.0
5,2020104376,3,2,2022/11/01,44,5,3.0,7,3,2.3,1.0,1,5380,55.0,2,1600,4,100.7,38.9,493,-3,1,0,0,0,0,0,0,210.0
1,2020104239,3,3,2023/07/12,44,5,11.0,11,11,43.9,6.0,0,1093,57.0,2,2000,4,125.1,38.9,489,2,1,1,0,0,0,0,0,2100.0
2,2020104239,3,3,2023/05/03,50,6,11.0,12,2,11.3,4.0,0,5328,57.0,2,1870,4,121.7,38.5,487,-5,0,0,0,0,0,1,1,1400.0
3,2020104239,3,3,2023/03/18,9,5,6.0,15,10,23.4,6.0,1,1093,56.0,2,1800,1,112.4,36.7,492,6,0,0,0,0,0,0,0,780.0
4,2020104239,3,3,2023/02/12,9,6,2.0,11,8,15.4,5.0,1,0,52.0,2,1800,4,115.2,38.4,486,4,0,0,0,0,0,0,0,550.0
5,2020104239,3,3,2023/01/22,10,6,1.0,15,8,39.1,10.0,0,0,52.0,2,1700,3,108.1,37.5,482,8,0,0,0,0,0,0,0,55.0
1,2020100273,3,3,2023/07/12,44,5,11.0,11,7,3.7,3.0,0,666,57.0,2,2000,4,125.2,40.0,501,8,1,1,0,0,0,0,0,1200.0
