,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
18,2011105960,3,6,2017/11/05,6267,8,6,11.0,15,12,7.3,3.0,0,1,1093,57.0,2,1800,4,110.7,36.8,470,2,0,0,0,0,0,0,0,958.0
19,2011105960,3,6,2017/10/09,6240,35,5,11.0,16,9,10.3,5.0,0,1,5541,57.0,2,1600,3,95.5,35.1,468,10,0,0,0,0,1,0,0,585.0
20,2011105960,3,6,2017/07/09,6147,7,5,11.0,15,12,7.0,5.0,1,1,1093,56.0,2,1400,4,82.9,35.6,458,0,0,0,0,0,0,0,0,3655.3
21,2011105960,3,6,2017/06/17,6124,9,6,11.0,14,3,7.3,3.0,0,1,1093,58.0,2,1400,4,82.6,35.4,458,2,0,0,0,0,0,0,0,889.0
22,2011105960,3,6,2017/03/14,6028,54,6,5.0,12,9,5.2,3.0,0,1,1093,56.0,2,1400,2,88.4,38.5,456,0,0,0,0,0,0,0,0,485.0
27,2012104314,2,5,2017/11/11,6273,5,6,11.0,16,8,18.7,7.0,0,0,5473,58.0,2,1600,4,95.9,35.2,452,0,0,0,0,0,0,0,0,570.0
28,2012104314,2,5,2017/02/19,6002,5,6,11.0,16,11,7.1,4.0,0,0,5339,57.0,2,1600,4,95.7,36.0,452,8,0,0,0,0,1,0,0,0.0
29,2012104314,2,4,2016/12/29,5950,44,6,10.0,14,5,8.8,4.0,0,0,5339,57.0,2,2000,2,126.9,37.0,444,-2,1,0,0,0,1,0,0,800.0
30,2012104314,2,4,2016/12/04,5925,7,5,11.0,15,9,7.5,4.0,0,0,5366,57.0,2,1800,4,110.5,36.6,446,8,0,0,0,0,1,0,0,0.0
31,2012104314,2,4,2016/11/03,5893,45,6,11.0,14,13,8.2,4.0,0,0,5339,57.0,2,2100,2,135.8,38.9,438,-15,0,0,0,0,1,0,0,800.0
30,2013106079,3,4,2017/11/03,6265,44,6,9.0,13,7,20.0,6.0,0,0,5342,57.0,2,2000,2,125.5,38.3,480,8,1,0,0,0,1,0,0,400.0
31,2013106079,3,4,2017/05/20,6096,8,6,11.0,16,15,4.8,2.0,0,0,5339,58.0,2,1900,4,117.7,38.6,472,8,0,0,0,0,0,0,0,0.0
32,2013106079,3,4,2017/04/15,6060,9,6,11.0,16,6,2.3,1.0,0,0,5339,58.0,2,1800,4,110.5,36.4,464,-6,0,0,0,0,0,0,0,0.0
33,2013106079,3,4,2017/01/22,5974,7,5,11.0,16,8,2.6,1.0,1,1,660,55.0,2,1800,4,113.2,36.7,470,0,0,0,0,0,0,1,1,5617.6
34,2013106079,3,3,2016/12/24,5945,6,6,11.0,16,9,1.5,1.0,1,1,5386,56.0,2,1800,3,113.3,38.4,470,-4,0,0,0,0,0,0,0,2236.4
24,2010102446,2,7,2017/11/03,6265,44,6,9.0,13,8,5.7,4.0,1,1,1096,57.0,2,2000,2,124.5,37.0,477,2,1,0,0,0,1,0,0,8000.0
25,2010102446,2,7,2017/09/27,6227,43,5,11.0,11,2,4.0,3.0,0,1,1096,58.0,2,1800,3,112.9,37.2,475,2,0,0,0,0,0,1,1,1120.0
26,2010102446,2,7,2017/06/28,6135,44,5,11.0,16,15,5.6,3.0,0,0,1096,57.0,2,2000,2,125.4,38.3,473,-1,1,0,0,0,1,0,0,600.0
27,2010102446,2,7,2017/02/19,6002,5,6,11.0,16,1,13.6,7.0,0,0,641,57.0,2,1600,4,95.7,35.8,474,-1,0,0,0,0,1,0,0,0.0
28,2010102446,2,7,2017/02/01,5984,45,6,11.0,12,12,1.6,1.0,0,1,1096,57.0,2,2100,4,135.2,38.2,475,0,0,0,0,0,1,0,0,2100.0
19,2014102862,3,3,2017/11/05,6267,8,6,11.0,15,11,25.2,7.0,0,0,1162,55.0,2,1800,4,111.6,37.8,456,-2,0,0,0,0,0,0,0,0.0
20,2014102862,3,3,2017/08/06,6175,4,6,11.0,15,2,66.3,11.0,1,1,1162,56.0,2,1800,4,112.9,37.8,458,-1,0,0,0,1,0,0,0,4055.3
21,2014102862,3,3,2017/07/12,6150,44,6,11.0,14,2,13.0,6.0,0,0,1096,56.0,2,2000,4,127.4,40.1,459,5,1,1,0,0,0,0,0,0.0
22,2014102862,3,3,2017/05/21,6097,8,6,10.0,10,10,33.6,10.0,1,1,894,56.0,2,1800,4,111.9,38.2,454,-4,0,0,0,0,0,0,0,1823.1
23,2014102862,3,3,2017/04/30,6075,8,6,10.0,16,10,39.1,13.0,0,0,1115,56.0,2,1400,4,86.1,37.3,458,0,0,0,0,0,0,0,0,0.0
42,2012106253,3,5,2017/11/05,6267,8,6,11.0,15,1,8.1,4.0,0,0,1019,57.0,2,1800,4,111.6,38.0,470,2,0,0,0,0,0,0,0,380.0
43,2012106253,3,5,2017/09/30,6230,9,6,11.0,16,3,5.4,4.0,0,0,5212,57.5,2,2000,4,125.1,38.5,468,4,0,0,0,0,0,0,0,0.0
44,2012106253,3,5,2017/04/15,6060,9,6,11.0,16,10,7.3,3.0,1,1,5212,56.0,2,1800,4,109.9,36.2,464,-6,0,0,0,0,0,0,0,3656.0
