,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
5,2015104879,3,5,2020/12/06,7,6,11.0,16,11,13.3,4.0,1,5386,57.0,2,1800,4,109.3,36.4,486,3,0,0,0,0,1,0,0,10336.0
6,2015104879,3,5,2020/11/03,44,5,10.0,15,14,8.0,3.0,0,5339,57.0,2,2000,3,123.4,38.1,483,-6,1,0,0,0,1,0,0,1600.0
7,2015104879,3,5,2020/06/24,44,5,11.0,14,6,5.2,3.0,0,5339,57.0,2,2000,2,125.9,36.5,489,11,1,0,0,0,1,0,0,1200.0
8,2015104879,3,5,2020/01/29,45,6,11.0,12,12,1.6,1.0,1,1088,57.0,2,2100,1,134.1,39.0,478,-4,0,0,0,0,1,0,0,6000.0
9,2015104879,3,4,2019/12/01,7,6,11.0,16,3,6.7,5.0,0,1014,57.0,2,1800,4,108.8,35.5,482,1,0,0,0,0,1,0,0,1500.0
0,2013106119,3,7,2020/12/06,7,6,11.0,16,2,9.9,3.0,0,1018,57.0,2,1800,4,109.7,36.6,532,2,0,0,0,0,1,0,0,4096.0
1,2013106119,3,7,2020/10/12,35,3,11.0,16,16,4.9,3.0,0,5339,57.0,2,1600,3,93.5,35.6,530,0,0,0,0,0,1,0,0,0.0
2,2013106119,3,7,2020/05/23,8,6,11.0,14,7,4.3,2.0,0,1093,58.0,2,1900,4,116.5,36.2,530,0,0,0,0,0,0,0,0,907.1
3,2013106119,3,6,2019/12/29,44,6,10.0,13,12,2.3,1.0,0,5339,57.0,2,2000,3,125.6,39.3,523,-13,1,0,0,0,1,0,0,800.0
4,2013106119,3,6,2019/12/01,7,6,11.0,16,11,3.5,1.0,0,5339,57.0,2,1800,4,108.5,35.4,536,10,0,0,0,0,1,0,0,4097.2
7,2014104052,3,6,2020/12/06,7,6,11.0,16,13,57.5,10.0,0,666,57.0,2,1800,4,109.7,37.4,518,7,0,0,0,0,1,0,0,2548.0
8,2014104052,3,6,2020/10/12,35,3,11.0,16,3,6.5,5.0,0,5386,57.0,2,1600,3,94.8,37.5,511,-3,0,0,0,0,1,0,0,0.0
9,2014104052,3,6,2020/02/23,5,6,11.0,16,5,3.0,2.0,0,666,57.0,2,1600,4,98.3,39.0,514,-4,0,0,0,0,1,0,0,0.0
