,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
12,2012101502,3,6,2018/10/02,46,6,11.0,11,6,1.8,1.0,0,1126,55.0,2,2100,3,138.4,42.5,472,0,0,0,0,0,0,0,0,0.0
13,2012101502,3,6,2018/08/12,1,5,11.0,14,3,3.9,1.0,0,1126,57.0,2,1700,2,102.5,35.8,472,-1,0,0,0,0,0,0,0,907.0
14,2012101502,3,6,2018/07/16,35,5,9.0,14,10,2.2,2.0,1,1126,55.0,2,2000,4,123.5,35.2,473,-3,0,0,0,0,0,0,0,2300.0
15,2012101502,3,6,2018/05/19,8,6,11.0,16,1,17.3,6.0,0,1126,57.0,2,1900,3,117.6,37.1,476,4,0,0,0,0,0,0,0,540.0
17,2015103221,3,3,2018/12/02,7,6,11.0,15,14,95.3,11.0,0,700,56.0,2,1800,4,111.3,37.0,518,0,0,0,0,0,1,0,0,0.0
18,2015103221,3,3,2018/11/18,3,6,11.0,15,14,1.9,1.0,1,1127,55.0,2,1700,4,105.1,37.5,518,-8,0,0,0,0,0,0,0,2235.7
19,2015103221,3,3,2018/09/29,9,5,11.0,16,5,19.1,8.0,0,1032,53.0,2,2000,1,122.6,37.5,526,0,0,0,0,0,0,0,0,540.0
20,2015103221,3,3,2018/09/16,6,5,11.0,9,6,3.4,2.0,1,422,53.0,2,1800,4,111.4,37.5,526,4,0,0,0,0,0,0,0,2219.6
21,2015103221,3,3,2018/08/05,4,5,11.0,15,15,43.0,10.0,0,1014,56.0,2,1800,4,112.0,37.4,522,4,0,0,0,1,0,0,0,1615.0
4,2011104994,3,7,2018/12/02,7,6,11.0,15,6,296.0,15.0,0,1037,57.0,2,1800,4,111.5,36.8,524,-4,0,0,0,0,1,0,0,0.0
5,2011104994,3,7,2018/11/04,8,6,11.0,16,5,221.3,14.0,0,1037,57.0,2,1900,4,117.2,37.3,528,4,0,0,0,0,1,0,0,0.0
6,2011104994,3,7,2018/10/21,5,6,11.0,16,4,27.3,11.0,0,1037,57.0,2,2100,4,131.9,38.3,524,-6,0,0,0,0,0,0,0,0.0
