,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
13,2019102737,3,2,2021/10/24,9,6,8.0,15,2,16.2,5,1,5212,55.0,2,1400,4,85.0,37.2,466,-10,0,0,0,0,0,0,0,1042.2
0,2019102378,3,3,2022/07/13,44,5,11.0,14,10,28.7,7.0,0,5420,56,2,2000,1,129.7,43.5,486,4,1,1,0,0,0,0,0,0.0
1,2019102378,3,3,2022/06/08,44,5,11.0,15,3,4.5,2.0,0,5524,56,2,2000,2,127.5,39.1,482,0,1,0,0,0,0,0,0,1000.0
2,2019102378,3,3,2022/05/12,44,3,11.0,15,12,6.8,3.0,0,5524,56,2,1800,3,112.7,39.6,482,-1,1,0,0,0,0,0,0,175.0
3,2019102378,3,3,2022/04/18,44,3,10.0,9,6,1.8,1.0,0,5524,58,2,1800,2,113.2,37.4,483,15,1,0,0,0,0,0,0,96.0
4,2019102378,3,2,2021/11/03,30,6,5.0,14,8,6.4,4.0,0,5524,55,2,1800,2,113.5,39.2,468,0,0,0,0,0,0,0,0,630.0
6,2019105023,3,3,2022/07/13,44,5,11.0,14,9,40.7,8,0,1122,56,2,2000,1,129.8,41.5,506,2,1,1,0,0,0,0,0,0.0
7,2019105023,3,3,2022/05/04,50,6,8.0,12,10,29.8,5,0,1122,56,2,1870,4,127.3,43.2,504,7,0,0,0,0,0,1,1,0.0
8,2019105023,3,2,2021/12/15,45,6,11.0,14,9,4.9,2,0,1122,55,2,1600,3,102.3,39.0,497,5,0,0,0,0,1,0,0,0.0
9,2019105023,3,2,2021/11/03,30,6,5.0,14,2,5.5,3,1,1122,55,2,1800,2,113.0,38.4,492,8,0,0,0,0,0,0,0,3000.0
10,2019105023,3,2,2021/09/12,7,5,3.0,11,5,2.5,1,1,5339,54,2,1800,4,112.9,38.0,484,0,0,0,0,0,0,0,0,700.0
12,2019101926,3,3,2022/07/13,44,5,11.0,14,11,146.9,13.0,0,656030,56,2,2000,1,130.7,43.9,488,-6,1,1,0,0,0,0,0,0.0
13,2019101926,3,3,2022/06/09,50,6,11.0,12,5,3.3,1.0,1,656030,56,2,1870,4,124.8,40.0,494,-5,0,0,0,0,0,0,0,2000.0
14,2019101926,3,3,2022/05/04,50,6,8.0,12,8,126.7,7.0,0,656030,56,2,1870,4,126.5,43.6,499,-1,0,0,0,0,0,1,1,0.0
15,2019101926,3,3,2022/04/07,50,6,11.0,12,6,1.2,1.0,0,656030,56,2,1700,4,112.8,40.0,500,-4,0,0,0,0,0,0,0,250.0
16,2019101926,3,3,2022/03/10,50,6,10.0,12,5,1.4,1.0,1,656030,55,2,1400,4,89.9,37.8,504,19,0,0,0,0,0,0,0,500.0
1,2019105194,3,3,2022/07/13,44,5,11.0,14,13,12.1,5,0,1088,56,2,2000,1,131.6,45.0,527,3,1,1,0,0,0,0,0,0.0
2,2019105194,3,3,2022/03/26,9,4,11.0,10,2,8.3,5,0,1174,57,1,1800,3,108.9,36.4,524,-6,0,0,0,0,0,0,0,0.0
3,2019105194,3,2,2021/12/28,6,6,11.0,15,6,2.9,1,0,5339,55,1,2000,4,121.8,36.3,530,8,0,0,0,0,1,0,0,0.0
4,2019105194,3,2,2021/10/09,5,5,11.0,7,6,2.2,1,1,5339,55,1,1600,4,96.4,33.5,522,10,0,0,0,0,0,0,0,3325.2
5,2019105194,3,2,2021/06/05,5,6,5.0,11,7,1.1,1,1,5339,54,1,1600,4,95.4,34.3,512,0,0,0,0,0,0,0,0,700.0
