,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
14,2015104273,3,4,2019/06/26,44,6,11.0,14,5,3.4,3.0,1,5585,57.0,2,2000,2,124.4,36.7,448,-14,1,0,0,0,1,0,0,6000.0
15,2015104273,3,4,2019/05/18,8,5,11.0,16,1,6.7,3.0,0,5212,59.0,2,1900,4,118.3,36.9,462,12,0,0,0,0,0,0,0,908.2
16,2015104273,3,4,2019/02/17,5,6,11.0,14,14,6.2,3.0,0,5212,57.0,2,1600,4,97.3,36.4,450,2,0,0,0,0,1,0,0,0.0
17,2015104273,3,3,2018/12/29,44,6,10.0,16,5,3.7,3.0,1,5212,55.0,2,2000,4,125.9,38.5,448,-4,1,0,0,0,1,0,0,8000.0
18,2015104273,3,3,2018/12/02,7,6,11.0,15,11,9.2,4.0,0,5473,56.0,2,1800,4,111.1,36.0,452,-2,0,0,0,0,1,0,0,1000.0
11,2015104879,3,4,2019/06/26,44,6,11.0,14,1,3.1,2.0,0,1088,57.0,2,2000,2,124.6,37.7,470,-12,1,0,0,0,1,0,0,2100.0
12,2015104879,3,4,2019/05/18,8,5,11.0,16,7,2.5,1.0,1,1088,58.0,2,1900,4,118.1,36.5,482,7,0,0,0,0,0,0,0,3657.4
13,2015104879,3,4,2019/03/13,43,5,11.0,13,1,1.4,1.0,1,1088,55.0,2,2400,2,157.3,37.9,475,-5,0,0,0,0,0,1,1,3200.0
14,2015104879,3,4,2019/01/20,7,5,11.0,13,3,4.8,2.0,0,1088,56.0,2,1800,4,110.1,35.8,480,3,0,0,0,0,0,1,1,2228.4
15,2015104879,3,3,2018/12/24,48,6,11.0,9,8,2.9,2.0,1,1088,54.0,2,2500,3,160.7,37.4,477,1,0,0,0,0,0,1,1,3100.0
18,2012104314,2,7,2019/06/26,44,6,11.0,14,14,53.5,8.0,0,5420,57.0,2,2000,2,124.6,37.4,442,0,1,0,0,0,1,0,0,1200.0
19,2012104314,2,7,2019/02/17,5,6,11.0,14,13,17.9,7.0,0,422,57.0,2,1600,4,97.9,36.9,452,6,0,0,0,0,1,0,0,0.0
20,2012104314,2,6,2018/12/02,7,6,11.0,15,5,13.4,6.0,0,422,57.0,2,1800,4,111.2,35.7,446,0,0,0,0,0,1,0,0,0.0
21,2012104314,2,6,2018/11/04,8,6,11.0,16,9,12.2,5.0,0,422,57.0,2,1900,4,117.1,36.3,446,2,0,0,0,0,1,0,0,1400.0
22,2012104314,2,6,2018/10/08,35,6,11.0,14,1,9.9,3.0,0,422,57.0,2,1600,4,96.7,35.4,444,-11,0,0,0,0,1,0,0,405.0
7,2012101502,3,7,2019/06/26,44,6,11.0,14,10,30.7,5.0,0,1018,57.0,2,2000,2,125.2,38.2,478,2,1,0,0,0,1,0,0,600.0
8,2012101502,3,7,2019/03/13,43,5,11.0,13,14,4.4,2.0,0,1018,56.0,2,2400,2,158.5,38.9,476,-1,0,0,0,0,0,1,1,320.0
9,2012101502,3,7,2019/01/30,45,6,11.0,11,6,7.0,3.0,1,1018,57.0,2,2100,4,135.0,39.1,477,-1,0,0,0,0,1,0,0,6000.0
