,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
19,2016103957,3,4,2020/11/25,42,5,10.0,11,9,4.5,4.0,0,5386,57.0,2,2000,3,126.6,37.2,502,5,0,0,0,0,0,1,1,0.0
20,2016103957,3,4,2020/11/03,44,5,10.0,15,13,35.1,6.0,0,5386,57.0,2,2000,3,124.2,38.1,497,-3,1,0,0,0,1,0,0,0.0
21,2016103957,3,4,2020/09/30,43,5,11.0,14,12,4.3,3.0,0,5386,57.0,2,1800,3,110.9,38.3,500,1,0,0,0,0,0,1,1,1120.0
22,2016103957,3,4,2020/07/21,35,6,10.0,14,9,4.2,3.0,0,5171,57.0,2,2000,4,123.2,37.5,499,5,0,0,0,0,0,0,0,644.0
8,2015105676,3,5,2020/12/29,44,6,10.0,16,3,27.9,5.0,0,5269,57.0,2,2000,4,127.8,37.2,511,-4,1,0,0,0,1,0,0,0.0
9,2015105676,3,5,2020/12/09,44,5,11.0,16,9,1.4,1.0,0,5269,58.0,2,1800,4,112.5,37.6,515,10,1,0,0,0,0,0,0,440.0
10,2015105676,3,5,2020/10/12,35,3,11.0,16,2,31.0,7.0,0,5269,57.0,2,1600,3,93.0,35.3,505,-7,0,0,0,0,1,0,0,800.0
11,2015105676,3,5,2020/09/29,43,5,11.0,8,8,1.2,1.0,1,5269,57.0,2,1600,3,100.6,36.6,512,-8,0,0,0,0,0,0,0,500.0
12,2015105676,3,5,2020/06/24,44,5,11.0,14,1,77.0,8.0,0,5269,57.0,2,2000,2,128.5,39.1,520,4,1,0,0,0,1,0,0,0.0
20,2015105608,3,5,2020/12/29,44,6,10.0,16,6,90.6,12.0,0,5524,57.0,2,2000,4,127.8,37.6,473,-3,1,0,0,0,1,0,0,0.0
21,2015105608,3,5,2020/11/18,44,6,11.0,16,5,6.6,3.0,1,5524,57.0,2,1600,4,98.8,38.5,476,9,1,0,0,0,0,0,0,1300.0
22,2015105608,3,5,2020/07/29,44,5,11.0,13,6,15.8,6.0,0,5524,58.0,2,1600,3,101.1,40.6,467,-1,1,0,0,0,0,0,0,0.0
23,2015105608,3,5,2020/05/13,45,6,11.0,13,1,8.6,3.0,0,5524,58.0,2,1600,4,101.2,38.2,468,-5,0,0,0,0,0,0,0,0.0
24,2015105608,3,5,2020/04/07,44,6,11.0,15,9,19.9,6.0,0,5524,58.0,2,1800,4,114.5,37.3,473,10,1,0,0,0,0,0,0,260.0
7,2012104314,2,8,2020/12/29,44,6,10.0,16,8,35.8,8.0,0,5380,57.0,2,2000,4,127.8,36.6,447,1,1,0,0,0,1,0,0,0.0
8,2012104314,2,8,2020/12/09,44,5,11.0,16,1,5.1,2.0,0,5524,57.0,2,1800,4,112.5,36.8,446,0,1,0,0,0,0,0,0,770.0
9,2012104314,2,8,2020/11/03,44,5,10.0,15,10,56.6,7.0,0,5524,57.0,2,2000,3,124.7,38.0,446,-4,1,0,0,0,1,0,0,0.0
10,2012104314,2,8,2020/06/24,44,5,11.0,14,9,35.9,7.0,0,5420,57.0,2,2000,2,126.3,36.4,450,-2,1,0,0,0,1,0,0,300.0
11,2012104314,2,8,2020/04/07,44,6,11.0,15,14,2.5,1.0,0,5420,58.0,2,1800,4,114.1,36.6,452,6,1,0,0,0,0,0,0,455.0
16,2017105292,3,3,2020/12/29,44,6,10.0,16,5,7.0,2.0,0,1088,55.0,2,2000,4,128.4,37.9,530,1,1,0,0,0,1,0,0,0.0
17,2017105292,3,3,2020/11/25,42,5,10.0,11,6,4.4,3.0,1,1088,56.0,2,2000,3,126.0,36.8,529,2,0,0,0,0,0,1,1,3500.0
18,2017105292,3,3,2020/11/03,44,5,10.0,15,6,26.4,5.0,0,1163,55.0,2,2000,3,124.0,38.8,527,-4,1,0,0,0,1,0,0,400.0
19,2017105292,3,3,2020/09/30,43,5,11.0,14,10,4.2,2.0,0,1163,55.0,2,1800,3,114.5,43.3,531,13,0,0,0,0,0,1,1,0.0
20,2017105292,3,3,2020/07/08,44,5,11.0,13,9,40.6,6.0,1,1163,56.0,2,2000,2,125.9,39.7,518,-2,1,1,0,0,0,0,0,4500.0
25,2014100629,3,6,2020/12/29,44,6,10.0,16,11,697.1,15.0,0,5286,57.0,2,2000,4,128.6,37.5,529,-9,1,0,0,0,1,0,0,0.0
26,2014100629,3,6,2020/12/09,44,5,11.0,16,14,77.7,7.0,0,5286,57.0,2,1800,4,114.1,38.8,538,12,1,0,0,0,0,0,0,0.0
27,2014100629,3,6,2020/11/13,48,6,11.0,12,1,6.9,3.0,0,5582,57.0,2,1900,4,126.1,40.3,526,20,0,0,0,0,0,0,0,108.0
28,2014100629,3,6,2020/06/20,9,6,11.0,16,8,263.5,15.0,0,1099,54.0,2,1800,3,111.9,37.5,506,2,0,0,0,0,0,0,0,0.0
29,2014100629,3,6,2020/04/19,9,5,11.0,16,1,407.3,15.0,0,1130,56.0,2,1800,3,111.5,37.3,504,2,0,0,0,0,0,0,0,0.0
25,2015100106,3,5,2020/12/29,44,6,10.0,16,12,518.0,13.0,0,5455,57.0,2,2000,4,128.7,37.5,465,-3,1,0,0,0,1,0,0,0.0
26,2015100106,3,5,2020/12/09,44,5,11.0,16,12,388.5,15.0,0,5455,57.0,2,1800,4,114.3,38.6,468,13,1,0,0,0,0,0,0,0.0
27,2015100106,3,5,2020/11/18,44,6,11.0,16,10,23.6,7.0,0,5269,57.0,2,1600,4,101.1,39.9,455,-7,1,0,0,0,0,0,0,0.0
28,2015100106,3,5,2020/06/27,5,6,11.0,13,11,142.7,13.0,0,1043,57.0,2,1600,3,97.2,36.4,462,10,0,0,0,0,0,0,0,0.0
29,2015100106,3,5,2020/05/10,5,6,10.0,16,11,86.7,12.0,0,1075,55.0,2,2100,4,131.3,37.0,452,4,0,0,0,0,0,0,0,0.0
18,2013105471,3,7,2020/12/29,44,6,10.0,16,13,634.9,14.0,0,655991,57.0,2,2000,4,131.2,39.3,470,14,1,0,0,0,1,0,0,0.0
19,2013105471,3,7,2020/07/19,2,5,11.0,16,15,184.5,16.0,0,1124,55.0,1,2000,4,122.8,39.0,456,-2,0,0,0,0,0,0,0,0.0
20,2013105471,3,7,2020/07/05,2,5,11.0,10,6,19.1,8.0,0,1032,57.0,1,1800,4,109.0,35.7,458,-6,0,0,0,0,0,0,0,0.0
21,2013105471,3,7,2020/03/08,9,5,11.0,16,16,42.6,13.0,0,1014,56.0,1,1800,3,108.7,36.9,464,0,0,0,0,0,0,0,0,0.0
22,2013105471,3,7,2020/02/23,10,6,11.0,14,7,50.5,11.0,0,1091,56.0,1,1800,4,109.4,36.1,464,0,0,0,0,0,0,0,0,0.0
40,2014103284,3,6,2020/12/29,44,6,10.0,16,15,779.7,16.0,0,655911,57.0,2,2000,4,132.1,40.1,469,-8,1,0,0,0,1,0,0,0.0
41,2014103284,3,6,2020/12/10,44,6,11.0,16,13,335.6,15.0,0,5286,57.0,2,1200,4,75.1,37.3,477,-3,1,0,0,0,0,0,0,0.0
42,2014103284,3,6,2020/10/21,50,6,7.0,7,7,16.8,6.0,0,5328,54.0,2,1870,3,127.7,40.5,480,-9,0,0,0,0,0,0,0,0.0
43,2014103284,3,6,2020/10/02,50,6,11.0,11,7,4.6,3.0,0,5328,56.0,2,1400,4,92.3,40.5,489,15,0,0,0,0,0,0,0,0.0
44,2014103284,3,6,2020/08/15,4,5,10.0,18,15,10.9,4.0,0,1077,57.0,1,1400,4,82.0,35.1,474,-2,0,0,0,0,0,0,0,0.0
