,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
30,2006104877,0,0,2014/04/22,0,5,10,10,5,0,0,0,0,0,2,2500,2,0,39.5,0,0,0,0,0,0,0,0,0,0.0
31,2006104877,3,8,2014/04/08,43,6,10,12,7,379.3,12,0,5573,55,2,1600,3,103.8,39.8,490,-2,0,0,0,0,0,0,0,0.0
3,2005104916,3,9,2014/06/25,44,5,12,11,11,334.7,10,0,0,57,2,2000,1,127.8,39.7,508,5,1,0,0,0,1,0,0,0.0
4,2005104916,3,9,2014/05/28,42,6,11,12,11,336.1,11,0,5269,56,2,1400,2,90.1,40.2,503,-8,0,0,0,0,0,1,1,0.0
5,2005104916,0,0,2014/04/28,0,3,9,9,5,0,0,0,0,0,2,1600,2,0,38.8,0,0,0,0,0,0,0,0,0,15.0
6,2005104916,0,0,2014/04/13,0,3,7,9,7,0,0,0,0,0,2,1900,1,0,40.4,0,0,0,0,0,0,0,0,0,12.5
7,2005104916,0,0,2014/03/26,0,3,10,12,11,0,0,0,0,0,2,1900,1,0,39.0,0,0,0,0,0,0,0,0,0,0.0
33,2008101536,3,6,2014/06/25,44,5,12,11,3,123.6,8,0,5396,57,2,2000,1,130.0,41.2,464,1,1,0,0,0,1,0,0,0.0
34,2008101536,3,6,2014/05/14,44,5,11,16,13,71.9,12,0,5396,54,2,2000,3,125.6,39.2,463,1,1,0,0,0,0,0,0,770.0
35,2008101536,3,6,2014/04/15,45,6,11,12,2,15.9,5,1,5396,57,2,2100,4,137.3,41.1,462,-2,0,0,0,0,0,0,0,500.0
36,2008101536,3,6,2014/02/20,42,6,11,12,4,86.5,9,0,5396,57,2,1500,3,96.4,38.9,464,5,0,0,0,0,0,0,0,85.0
37,2008101536,3,5,2013/12/19,45,3,11,14,14,21.5,6,0,0,57,2,1600,2,102.1,40.3,459,2,0,0,0,0,0,0,0,0.0
