,horse_id,sex,age,date,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
1,2015104879,3,7,2022/02/02,45,6,11.0,13,3,1.2,1.0,1,1088,57.0,2,2100,4,134.9,38.3,488,0,0,0,0,0,1,0,0,6000.0
2,2015104879,3,6,2021/12/05,7,5,11.0,16,13,4.6,3.0,0,5386,57.0,2,1800,4,110.7,36.2,488,4,0,0,0,0,1,0,0,4097.2
3,2015104879,3,6,2021/11/03,46,6,10.0,12,1,5.6,3.0,0,5386,57.0,2,2100,4,133.4,35.9,484,-3,0,0,0,0,1,0,0,1600.0
4,2015104879,3,6,2021/06/30,44,5,11.0,13,7,4.1,2.0,0,5386,57.0,2,2000,2,124.0,38.0,487,0,1,0,0,0,1,0,0,0.0
5,2015104879,3,5,2020/12/06,7,6,11.0,16,11,13.3,4.0,1,5386,57.0,2,1800,4,109.3,36.4,486,3,0,0,0,0,1,0,0,10336.0
10,2014105850,2,8,2022/02/02,45,6,11.0,13,1,85.1,9.0,0,5443,57.0,2,2100,4,135.8,39.5,505,1,0,0,0,0,1,0,0,2100.0
11,2014105850,2,8,2022/01/03,45,6,11.0,13,8,48.0,11.0,0,5199,57.0,2,2100,4,134.9,39.9,504,0,0,0,0,0,0,0,0,700.0
12,2014105850,2,7,2021/12/08,44,3,11.0,16,3,13.4,6.0,0,5443,57.0,2,1800,1,115.3,40.8,504,8,1,0,0,0,0,0,0,0.0
13,2014105850,2,7,2021/10/02,7,6,11.0,16,4,56.4,14.0,0,1157,57.0,2,1900,4,120.7,41.0,496,-4,0,0,0,0,0,0,0,0.0
14,2014105850,2,7,2021/07/17,3,6,11.0,15,8,11.9,6.0,0,5386,59.0,2,1700,4,105.2,38.9,500,-6,0,0,0,0,0,0,0,0.0
7,2017105356,3,5,2022/02/02,45,6,11.0,13,6,7.8,3.0,0,1170,57.0,2,2100,4,135.8,39.2,519,-2,0,0,0,0,1,0,0,1200.0
8,2017105356,3,4,2021/12/23,48,6,11.0,11,11,2.1,1.0,1,1170,56.0,2,2500,3,165.4,39.4,521,5,0,0,0,0,0,1,1,3200.0
9,2017105356,3,4,2021/11/23,42,6,10.0,10,4,9.5,4.0,0,1170,56.0,2,2000,2,127.8,37.4,516,-2,0,0,0,0,0,1,1,700.0
10,2017105356,3,4,2021/10/24,5,6,11.0,16,3,9.9,6.0,0,1096,55.0,2,2100,4,129.8,36.6,518,-2,0,0,0,0,0,0,0,585.4
11,2017105356,3,4,2021/09/19,6,6,11.0,16,16,23.7,10.0,0,1092,56.0,2,1800,3,111.6,38.8,520,-10,0,0,0,0,0,0,0,220.0
9,2018104059,3,4,2022/02/02,45,6,11.0,13,2,40.3,7.0,0,1093,56.0,2,2100,4,135.9,38.6,508,-2,0,0,0,0,1,0,0,600.0
10,2018104059,3,3,2021/12/28,9,6,11.0,16,4,6.7,2.0,0,1093,55.0,2,1800,4,112.4,37.0,510,0,0,0,0,0,0,0,0,350.0
11,2018104059,3,3,2021/11/13,9,6,10.0,16,1,19.7,7.0,1,1093,53.0,2,1800,4,111.4,37.0,510,2,0,0,0,0,0,0,0,1859.2
12,2018104059,3,3,2021/10/30,9,6,10.0,16,11,20.9,7.0,0,732,55.0,2,1800,4,113.0,36.9,508,-2,0,0,0,0,0,0,0,182.0
13,2018104059,3,3,2021/08/15,10,5,12.0,16,10,3.7,1.0,1,1088,54.0,2,1700,2,104.1,37.4,510,2,0,0,0,0,0,0,0,1536.4
7,2016104163,3,6,2022/02/02,45,6,11.0,13,9,7.7,2.0,0,5549,57.0,2,2100,4,136.2,40.1,545,13,0,0,0,0,1,0,0,300.0
8,2016104163,3,5,2021/12/05,7,5,11.0,16,2,17.9,7.0,0,5212,57.0,2,1800,4,111.7,37.8,532,-4,0,0,0,0,1,0,0,0.0
9,2016104163,3,5,2021/11/03,46,6,10.0,12,9,6.7,5.0,0,5549,57.0,2,2100,4,134.5,37.4,536,-4,0,0,0,0,1,0,0,0.0
10,2016104163,3,5,2021/06/30,44,5,11.0,13,5,4.7,3.0,0,5549,57.0,2,2000,2,125.2,39.8,540,-4,1,0,0,0,1,0,0,0.0
11,2016104163,3,5,2021/05/05,43,4,11.0,12,6,3.6,2.0,1,5549,57.0,2,1600,3,99.3,38.9,544,2,0,0,0,0,1,0,0,7000.0
6,2017104867,3,5,2022/02/02,45,6,11.0,13,10,17.7,4.0,0,5212,57.0,2,2100,4,137.0,40.5,494,-6,0,0,0,0,1,0,0,0.0
7,2017104867,3,4,2021/11/28,9,6,11.0,16,8,10.3,5.0,0,1163,56.0,2,2000,4,125.3,37.1,500,14,0,0,0,0,0,0,0,555.5
8,2017104867,3,4,2021/10/24,5,6,11.0,16,1,4.5,1.0,0,1077,56.0,2,2100,4,130.7,38.5,486,8,0,0,0,0,0,0,0,0.0
9,2017104867,3,4,2021/06/19,5,4,11.0,16,5,3.2,1.0,0,5212,57.0,2,2100,2,130.6,38.8,478,-6,0,0,0,0,0,0,0,0.0
10,2017104867,3,4,2021/05/09,5,6,10.0,16,11,9.5,5.0,1,5212,55.0,2,2100,4,129.6,36.8,484,-2,0,0,0,0,0,0,0,2334.3
11,2016103957,3,6,2022/02/02,45,6,11.0,13,11,188.9,11.0,0,1179,57.0,2,2100,4,137.1,39.8,507,5,0,0,0,0,1,0,0,0.0
