,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,タマモネイヴィー,牡6,57,繁田健一,1:53.6,,14.2,7,490(-2),[地] 小久保智
1,2,3,3,サブノクロヒョウ,牡4,57,的場文男,1:54.2,3,3.0,1,489(-4),[地] 阪本一栄
2,3,6,7,ワットロンクン,牡6,55,森泰斗,1:54.7,2.1/2,3.3,2,511(+1),[地] 内田勝義
3,4,6,8,ニシノゲンキマル,牡6,55,柏木健宏,1:55.0,1.1/2,42.8,9,502(-4),[地] 辻野豊
4,5,5,5,スパイア,牡8,57,瀧川寿希,1:55.4,2,7.1,4,544(+2),[地] 宗形竹見
5,6,8,11,ピグマリオン,セ8,57,矢野貴之,1:55.5,3/4,13.1,6,456(-5),[地] 平山真希
6,7,7,9,ターフデザイナー,牝6,53,和田譲治,1:55.5,アタマ,11.3,5,531(+4),[地] 蛯名雄太
7,8,4,4,フジノドラマ,牝5,55,笹川翼,1:56.0,2.1/2,6.2,3,500(+5),[地] 井上弘之
8,9,5,6,マテリアメディカ,牝4,55,石崎駿,1:56.0,ハナ,24.9,8,485(+1),[地] 矢野義幸
9,10,7,10,カズノテナンゴ,牡5,55,楢崎功祐,1:57.6,8,128.4,11,496(+2),[地] 佐野謙二
10,11,8,12,メジャーステップ,セ6,54,保園翔也,1:59.4,9,205.2,12,497(-2),[地] 山越光
11,12,1,1,スマートファミリア,牡8,55,内田利雄,2:02.1,大,98.5,10,480(+9),[地] 上杉昌宏
