,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,7,ディアマルコ,牝4,54,佐原秀泰,1:31.5,,1.9,1.0,457(+13),[地] 那俄性哲
1,2,8,10,マイネルハルカゼ,牡7,56,永森大智,1:31.5,ハナ,8.9,5.0,506(+4),[地] 雑賀正光
2,3,7,8,セトアロー,牡6,56,倉兼育康,1:31.8,1.1/2,7.6,3.0,542(+1),[地] 松木啓助
3,4,5,5,ストリークライト,牡5,56,上田将司,1:31.8,アタマ,58.0,8.0,510(-10),[地] 田中伸一
4,5,2,2,ロジテースト,牡6,56,中西達也,1:32.1,1.1/2,3.9,2.0,464(+5),[地] 工藤真司
5,6,6,6,ドラゴンテリー,牡4,56,嬉勝則,1:32.4,1.1/2,117.1,9.0,459(-3),[地] 松木啓助
6,7,1,1,キネオフォルツァ,牡6,56,西川敏弘,1:32.4,クビ,12.8,6.0,530(+2),[地] 松木啓助
7,8,3,3,リワードレブロン,牡9,54,中越琉世,1:32.8,2,8.8,4.0,495(+4),[地] 雑賀正光
8,9,8,9,スクワドロン,牡7,56,岡村卓弥,1:33.2,2,32.2,7.0,511(-6),[地] 雑賀正光
9,取,4,4,サトノキングリー,セ7,56,中田貴士,,,---,,計不,[地] 松木啓助
