,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,スーブルソー,セ6,57,高松亮,2:06.0,,23.7,7,494(-4),[地] 板垣吉則
1,2,6,7,モズ,牡6,57,高橋悠里,2:06.2,3/4,2.2,2,503(+3),[地] 佐藤祐司
2,3,3,3,トーホクアロー,牡4,57,山本聡哉,2:06.6,2.1/2,19.5,6,466(-2),[地] 桜田浩三
3,4,1,1,ヴェリイブライト,牡3,55,南郷家全,2:06.8,1.1/4,39.1,9,472(-5),[地] 千葉幸喜
4,5,7,9,ランドオウジ,牡7,57,坂口裕一,2:06.8,クビ,12.2,4,495(-1),[地] 千葉幸喜
5,6,7,10,ローレルカンタータ,牡7,57,村上忍,2:06.9,1/2,2.1,1,510(+2),[地] 村上実
6,7,8,11,ボンバルディエーレ,セ7,57,小林俊彦,2:07.0,クビ,16.1,5,497(+25),[地] 関本浩司
7,8,6,8,エバーオンワード,牡5,57,山本政聡,2:07.4,2.1/2,11.1,3,484(0),[地] 桜田浩樹
8,9,4,4,トーホクキング,牡6,57,菊地康朗,2:08.1,4,51.3,10,488(+5),[地] 桜田浩三
9,10,5,6,レイモニ,牝4,55,菅原辰徳,2:08.7,4,334.3,12,444(+7),[地] 佐藤祐司
10,11,8,12,コウギョウデジタル,牝3,53,陶文峰,2:08.8,1/2,26.6,8,488(+5),[地] 菅原右吉
11,12,5,5,ディアーウィッシュ,牡9,57,関本淳,2:09.0,1.1/4,284.8,11,534(+9),[地] 佐々木修
