,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,ウツミジョーダン,牡4,55,小林俊彦,2:08.4,,---,3,463(-2),[地] 村上佐重
1,2,4,4,ブラウンシャトレー,牡7,58,張田京,2:08.5,3/4,---,8,452(-4),[地] 岡林光浩
2,3,3,3,イシノファミリー,牡4,55,山田信大,2:08.8,1.1/2,---,5,483(+4),[地] 足立勝久
3,4,6,7,ベルモントソレイユ,牡4,55,御神本訓,2:09.2,2,---,6,516(+3),[地] 高橋三郎
4,5,5,5,ブルーローレンス,牡3,52,的場文男,2:09.4,1.1/2,---,2,475(0),[地] 足立勝久
5,6,5,6,イシノブライアン,牡7,54,甲斐年光,2:09.5,クビ,---,9,464(-2),[地] 武井栄一
6,7,1,1,マキノヒリュウ,牡4,54,野崎武司,2:09.7,1,---,4,449(-7),[地] 久保秀男
7,8,8,12,トキノアジュディ,牡5,55,山林堂信,2:11.7,10,---,12,486(-1),[地] 長谷川蓮
8,9,7,9,テラノコマンダー,牡4,54,内田博幸,2:11.8,1/2,---,7,509(0),[地] 鈴木敏一
9,10,7,10,ファイブビーンズ,牡7,55,佐藤隆,2:12.1,1.1/2,---,10,514(0),[地] 熊坂光広
10,11,6,8,エスプリシーズ,牡5,57,森下博,2:12.4,1.1/2,---,1,544(+1),[地] 武井栄一
11,12,8,11,ベルボクサー,牡7,56,酒井忍,2:14.6,大,---,11,439(+6),[地] 池田孝
