,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,9,ハルディネロ,牡4,56,真島大輔,1:41.1,,5.4,3.0,479(-3),[地] 荒山勝徳
1,2,4,6,サンシャイアン,牡5,56,矢野貴之,1:41.2,1/2,3.7,2.0,507(-3),[地] 市村誠
2,3,5,8,トーセンエターナル,牡5,56,森泰斗,1:41.6,2,2.6,1.0,477(+1),[地] 橋本和馬
3,4,4,7,クインザヒーロー,牡7,56,水野翔,1:41.7,1/2,53.0,8.0,462(0),[地] 新井清重
4,5,6,11,ゲンパチカイナル,牡5,56,藤本現暉,1:41.9,1.1/4,7.7,4.0,497(+11),[地] 阪本一栄
5,6,3,5,ソロムコ,牡5,56,本橋孝太,1:42.4,2.1/2,120.6,14.0,510(+4),[地] 蛯名雄太
6,7,7,12,ミヤジフランガン,牡5,56,町田直希,1:42.7,1.1/2,8.4,5.0,476(+18),[地] 三坂盛雄
7,8,8,15,アエノエンペラー,牡4,56,張田昂,1:42.8,1/2,72.4,13.0,468(+8),[地] 的場直之
8,9,3,4,ダートカナ,牝5,54,瀬川将輝,1:42.8,アタマ,57.1,9.0,506(+3),[地] 鷹見浩
9,10,6,10,サンドプラチナ,牡7,56,石崎駿,1:43.0,1.1/4,63.7,12.0,522(+7),[地] 市村誠
10,11,1,1,シビックヴァーゴ,牡4,56,笹川翼,1:43.0,アタマ,25.8,6.0,458(0),[地] 米田英世
11,12,2,3,サイモンジルバ,牝5,54,有年淳,1:43.1,1/2,63.5,11.0,468(+6),[地] 鈴木啓之
12,13,8,14,ビーザライト,牡6,56,的場文男,1:43.1,ハナ,38.6,7.0,534(-2),[地] 的場直之
13,14,7,13,アギト,牡4,56,左海誠二,1:43.3,3/4,61.0,10.0,480(-2),[地] 小久保智
14,取,2,2,ミスターオーネット,牡5,56,御神本訓,,,---,,計不,[地] 上杉昌宏
