,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,クリソライト,牡6,56,武豊,2:36.4,,1.3,1,501(+4),[西] 音無秀孝
1,2,8,11,クリノスターオー,牡6,56,幸英明,2:36.6,1.1/2,6.7,3,536(-12),[西] 高橋義忠
2,3,7,10,ユーロビート,セ7,56,吉原寛人,2:37.6,5,25.4,5,544(+4),[地] 渡辺和雄
3,4,2,2,クラージュドール,牡6,56,森泰斗,2:38.4,4,105.1,7,508(-5),[地] 川島正一
4,5,6,8,マイネルバイカ,牡7,56,柴田大知,2:38.6,1,8.0,4,495(+6),[西] 西村真幸
5,6,4,4,ストロングサウザー,牡5,56,田辺裕信,2:38.7,クビ,5.3,2,478(-2),[東] 久保田貴
6,7,7,9,ドラゴンヴォイス,牡8,56,今野忠成,2:38.9,1,383.5,8,451(-1),[地] 福永敏
7,8,5,5,サミットストーン,牡8,56,石崎駿,2:39.6,3,88.3,6,555(0),[地] 矢野義幸
8,9,6,7,ブランクヴァース,牡7,56,畑中信司,2:42.3,大,583.4,9,481(-7),[地] 別府真司
9,10,1,1,タイセイローマン,牡7,56,西森将司,2:42.3,アタマ,800.4,10,507(-6),[地] 別府真司
10,11,8,12,タッチデュール,牝7,54,中野省吾,2:44.7,大,820.2,11,420(-8),[地] 山中輝久
11,12,5,6,クレバーサンデー,牡9,56,小林拓未,2:50.4,大,968.9,12,506(+4),[地] 香取和孝
