,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,10,バトルクライ,牡4,56,川田将雅,1:23.8,,2.8,2,496(+4),[東] 高木登
1,2,7,12,ドライスタウト,牡4,58,戸崎圭太,1:23.9,クビ,1.8,1,538(+4),[西] 牧浦充徳
2,3,4,5,セキフウ,牡4,58,藤岡康太,1:24.1,1.1/2,19.1,6,484(+8),[西] 武幸四郎
3,4,8,13,ケイアイターコイズ,牡7,58,鮫島克駿,1:24.2,1/2,14.7,4,530(+4),[西] 新谷功一
4,5,5,8,イバル,牡6,57,小崎綾也,1:24.3,クビ,83.7,9,520(+14),[西] 小崎憲
5,6,3,4,クリノフラッシュ,牝8,55,岩田望来,1:24.3,クビ,181.3,11,450(-2),[西] 橋田満
6,7,1,1,オーヴァーネクサス,牡6,58,北村友一,1:24.4,クビ,12.6,3,512(-4),[西] 松下武士
7,8,3,3,シャイニーブランコ,牡7,57,酒井学,1:24.5,1/2,216.1,13,460(-2),[西] 小林真也
8,9,5,7,メイショウテンスイ,牡6,58,太宰啓介,1:24.7,1.1/4,37.5,7,544(+22),[西] 南井克巳
9,10,8,14,サンライズラポール,牡6,57,西村淳也,1:24.7,ハナ,41.8,8,516(+2),[西] 平田修
10,11,7,11,レディオマジック,牡6,57,藤岡佑介,1:24.8,1/2,171.6,10,498(-6),[西] 佐々木晶
11,12,6,9,シゲルタイタン,牡6,57,松山弘平,1:25.4,3.1/2,17.3,5,498(+4),[東] 伊藤圭三
12,13,4,6,コパノマーキュリー,牡6,57,松若風馬,1:25.5,1/2,307.2,14,512(0),[西] 村山明
13,14,2,2,ドウドウキリシマ,牡7,57,和田竜二,1:26.0,3.1/2,205.3,12,506(-10),[東] 天間昭一
