,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,8,ダイメイコリーダ,牡6,56,宮平鷹志,1:13.8,,5.9,3,516(-10),[地] 岡島玉一
1,2,8,10,リーチ,牡5,57,石川倭,1:14.0,3/4,2.1,1,516(-8),[地] 米川昇
2,3,2,2,イダペガサス,牡8,57,服部茂史,1:14.3,1.1/2,4.2,2,510(0),[地] 田中淳司
3,4,6,7,ケイアイビリジアン,セ7,56,松井伸也,1:14.3,アタマ,84.2,8,524(0),[地] 安田武広
4,5,5,5,ロフティフレーズ,牝8,55,岩橋勇二,1:14.4,3/4,11.9,6,514(0),[地] 田中正二
5,6,8,11,ゼンノジャスタ,牡6,57,落合玄太,1:14.4,ハナ,11.9,5,492(0),[地] 田中淳司
6,7,7,9,ホッコーライデン,牡9,58,宮崎光行,1:14.7,1.1/2,6.2,4,526(+10),[地] 山口竜一
7,8,3,3,フォルベルス,牡7,56,黒澤愛斗,1:16.1,7,105.3,10,482(-4),[地] 桧森邦夫
8,9,1,1,オンザロックス,牡10,57,桑村真明,1:16.3,1,56.1,7,490(-4),[地] 佐久間雅
9,10,4,4,ワールドヘリテージ,牡8,56,阿部龍,1:16.5,3/4,250.0,11,472(0),[地] 村上正和
10,11,6,6,クリノサンレオ,牡10,56,小野楓馬,1:16.5,ハナ,92.3,9,464(-2),[地] 小野望
