,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,7,フィールドセンス,牡8,57,本橋孝太,1:41.3,,22.0,8,533(-4),[地] 山下貴之
1,2,6,9,スマイルウィ,牡5,57,張田昂,1:41.3,クビ,2.3,1,548(-2),[地] 張田京
2,3,8,13,アヴァンティスト,牡6,57,御神本訓,1:41.9,3,12.5,3,473(0),[地] 藤田輝信
3,4,7,11,ヴァケーション,牡5,57,村上忍,1:41.9,アタマ,15.9,5,490(-1),[地] 畠山信一
4,5,6,10,リンゾウチャネル,牡6,57,今野忠成,1:42.1,1,37.8,10,507(0),[地] 荒山勝徳
5,6,3,3,トランセンデンス,牡4,57,森泰斗,1:42.5,2,38.4,11,480(+8),[地] 小久保智
6,7,2,2,ファルコンビーク,牡5,57,本田正重,1:42.6,クビ,3.2,2,493(0),[地] 内田勝義
7,8,3,4,トキノパイレーツ,牡7,57,櫻井光輔,1:42.6,アタマ,275.8,14,476(-6),[地] 八木正喜
8,9,1,1,メモリーコウ,牝7,56,和田譲治,1:42.9,1.1/2,49.2,13,485(+13),[地] 鷹見浩
9,10,5,8,ジョーパイロライト,牡6,56,藤本現暉,1:42.9,ハナ,22.4,9,461(-1),[地] 小久保智
10,11,4,5,ライトウォーリア,牡5,57,笹川翼,1:43.7,4,15.5,4,504(0),[地] 内田勝義
11,12,4,6,アランバローズ,牡4,58,左海誠二,1:43.8,1/2,16.7,6,455(+1),[地] 林正人
12,13,8,14,リネンファッション,牝5,55,町田直希,1:44.2,2,41.7,12,460(+1),[地] 川村守男
13,14,7,12,ワイドファラオ,牡6,58,真島大輔,1:44.7,2.1/2,17.2,7,510(-2),[地] 森下淳平
