,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,11,ペガサスフラッシュ,牡2,51,高倉稜,1:59.6,,34.8,9,434(0),[西] 羽月友彦
1,2,7,8,グレープブランデー,牡2,54,北村友一,1:59.8,1.1/4,3.3,2,522(0),[西] 安田隆行
2,3,8,10,エーシンジェイワン,牡2,54,武豊,1:59.8,クビ,2.6,1,536(0),[西] 西園正都
3,4,2,2,アドマイヤトリック,牡2,54,福永祐一,2:00.1,2,25.8,7,454(0),[西] 須貝尚介
4,5,7,9,スーサングリーン,牡2,54,和田竜二,2:00.2,クビ,25.3,6,478(0),[西] 岩元市三
5,6,5,5,ウィンザーフラッグ,牡2,54,内田博幸,2:00.9,4,3.7,3,478(0),[西] 白井寿昭
6,7,4,4,ゴーズオン,牡2,54,川田将雅,2:01.0,クビ,14.4,4,502(0),[西] 松元茂樹
7,8,3,3,ワイルドビート,牡2,54,藤岡佑介,2:01.2,1.1/4,29.1,8,498(0),[西] 吉田直弘
8,9,6,6,スペシャルムーン,牡2,54,酒井学,2:01.8,3.1/2,164.2,11,480(0),[西] 大橋勇樹
9,10,1,1,アウガルテン,牡2,54,藤岡康太,2:01.8,クビ,15.3,5,506(0),[西] 藤岡健一
10,11,6,7,サンレイワイルド,牡2,54,岩崎祐己,2:02.6,5,69.2,10,510(0),[西] 西橋豊治
