,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,12,ウェイキー,牡3,57,本田正重,1:27.1,,3.9,2,506(-2),[地] 宗形竹見
1,2,5,5,アイルビーゼア,牝3,54,笹川翼,1:27.3,1.1/4,29.1,7,444(+4),[地] 福永敏
2,3,2,2,キラカイドウ,セ3,57,的場文男,1:27.8,2.1/2,7.6,4,409(-1),[地] 上杉昌宏
3,4,3,3,エスプレッソ,牡3,56,藤本現暉,1:27.8,ハナ,40.5,9,451(-2),[地] 鷹見浩
4,5,7,9,ファルキート,セ3,56,真島大輔,1:27.8,クビ,14.8,6,431(-2),[地] 森下淳平
5,6,6,7,ブラックマーメイド,牝3,54,藤田凌,1:27.9,クビ,29.7,8,473(+3),[地] 堀千亜樹
6,7,6,8,ラペルシェール,牡3,57,町田直希,1:28.6,3.1/2,4.9,3,471(+5),[地] 佐野謙二
7,8,1,1,シンギングハピネス,牡3,57,今野忠成,1:28.6,ハナ,2.5,1,522(+2),[地] 荒山勝徳
8,9,8,11,チュートリス,牝3,54,吉井章,1:29.2,3,146.1,12,446(+8),[地] 高橋清顕
9,10,5,6,オールドブラフ,牡3,56,中村尚平,1:29.4,1.1/4,113.0,11,443(+2),[地] 庄子昭彦
10,11,4,4,サブノキコウシ,牡3,57,和田譲治,1:29.5,1/2,13.1,5,447(+6),[地] 的場直之
11,12,7,10,シンユンベイビー,牝3,53,篠谷葵,1:29.9,2,65.9,10,447(-1),[地] 鷹見浩
