,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,8,エイシンチャンプ,牡6,58,内田博幸,2:47.3,,3.4,2,505(-3),[地] 堀千亜樹
1,2,3,3,ボンネビルレコード,牡4,57,的場文男,2:47.3,クビ,3.5,3,467(-3),[地] 庄子連兵
2,3,7,9,クールアイバー,牡8,56,森下博,2:48.2,4,36.7,9,458(0),[地] 高柳恒男
3,4,2,2,ホクトアサティス,牡5,54,張田京,2:48.6,2,2.3,1,506(+8),[地] 栗田泰昌
4,5,4,4,ウエノマルクン,牡7,56,柏木健宏,2:48.6,クビ,10.2,4,451(+3),[地] 松浦裕之
5,6,6,6,ケージーチカラ,牡6,57,鈴木啓之,2:48.6,ハナ,12.3,5,498(+1),[地] 朝倉実
6,7,1,1,アイディンワンダー,牡7,56,石崎隆之,2:49.5,4,87.8,10,524(-6),[地] 出川克己
7,8,5,5,ヤスミダブリン,牡7,56,今野忠成,2:49.7,3/4,140.9,11,475(-5),[地] 大山二三
8,9,8,10,シャコーオープン,牡6,57,戸崎圭太,2:50.2,2.1/2,24.9,6,503(-6),[地] 蛯名末五
9,10,8,11,ブラウンデザート,牡7,54,左海誠二,2:50.4,1,32.6,7,478(-11),[地] 岡林光浩
10,11,6,7,サンデーバニヤン,牡6,57,坂井英光,2:53.7,大,35.8,8,508(-13),[地] 佐々木洋
