,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,グロリアムンディ,牡5,56,川田将雅,2:37.2,,2.2,1,501(-3),[西] 大久保龍
1,2,2,2,テリオスベル,牝6,54,江田照男,2:39.0,9,10.8,4,454(+2),[東] 田島俊明
2,3,4,5,メイショウフンジン,牡5,56,酒井学,2:39.2,1,4.2,3,516(-4),[西] 西園正都
3,4,6,10,エルデュクラージュ,セ9,56,本田正重,2:39.3,1/2,73.8,9,521(+8),[地] 川島正一
4,5,6,9,ペイシャエス,牡4,55,戸崎圭太,2:40.6,6,3.3,2,504(+2),[東] 小西一男
5,6,5,7,マンガン,牡6,56,山崎誠士,2:41.0,2,33.5,7,469(+5),[地] 石井勝男
6,7,7,11,フォルベルール,牡5,56,和田譲治,2:41.2,3/4,487.7,12,539(-2),[地] 久保秀男
7,8,3,3,セイカメテオポリス,牡5,56,矢野貴之,2:41.4,1.1/2,20.0,5,547(-2),[地] 渡辺和雄
8,9,3,4,サンビュート,セ6,56,笹川翼,2:41.5,クビ,139.6,10,515(+10),[地] 福田真広
9,10,5,8,アナザートゥルース,セ9,56,森泰斗,2:42.2,3,20.4,6,489(-5),[地] 佐藤裕太
10,11,4,6,キャッスルトップ,牡5,56,仲野光馬,2:47.2,大,230.2,11,456(0),[地] 渋谷信博
11,12,7,12,ミスティネイル,牝7,54,松本剛志,2:48.8,8,999.9,14,494(0),[地] 伊藤勝好
12,13,8,14,ハナウタマジリ,牝5,54,藤原幹生,2:50.1,6,901.9,13,455(+1),[地] 伊藤勝好
13,中,8,13,ミューチャリー,牡7,56,御神本訓,,,65.6,8,462(-3),[地] 矢野義幸
