,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,5,ロードクラヴィウス,牡2,55,池添謙一,1:52.7,,20.5,5.0,466(+6),[西] 安田隆行
1,2,6,11,クリソライト,牡2,55,北村友一,1:52.7,ハナ,1.4,1.0,482(-2),[西] 音無秀孝
2,3,4,7,ローレルベロボーグ,牡2,55,小牧太,1:53.3,3.1/2,13.1,3.0,486(0),[西] 山内研二
3,4,5,9,ショウナンアズサ,牝2,54,浜中俊,1:53.3,ハナ,6.6,2.0,494(+2),[西] 高野友和
4,5,2,3,シゲルオオカミザ,牡2,55,藤懸貴志,1:53.5,1.1/2,126.2,14.0,444(-8),[西] 服部利之
5,6,2,2,アチーヴ,牡2,55,松山弘平,1:53.8,2,14.0,4.0,456(-6),[西] 加藤敬二
6,7,4,6,シゲルラシンバンザ,牡2,55,幸英明,1:53.9,クビ,113.9,13.0,476(0),[西] 福島信晴
7,8,6,10,タマモコンパス,牡2,55,藤岡佑介,1:54.5,3.1/2,34.0,7.0,444(+2),[西] 池添兼雄
8,9,3,4,キンショータイム,牡2,55,鮫島良太,1:54.6,3/4,95.8,11.0,476(-6),[西] 中村均
9,10,7,13,ローレルアルトス,牡2,55,川須栄彦,1:55.0,2.1/2,21.7,6.0,462(+6),[東] 小野次郎
10,11,5,8,ケイアイレオ,牡2,55,酒井学,1:55.8,5,42.4,8.0,516(-12),[東] 石毛善彦
11,12,7,12,ブルーボンボヤージ,牝2,54,太宰啓介,1:55.9,3/4,67.4,9.0,478(-2),[西] 本田優
12,13,8,14,マコトタンホイザー,牡2,55,高倉稜,1:56.1,1.1/4,68.0,10.0,480(+4),[西] 中村均
13,14,8,15,トーセンエジンバラ,牡2,55,藤田伸二,1:56.4,2,110.6,12.0,474(+2),[東] 本間忍
14,除,1,1,ブロードソード,牡2,55,川田将雅,,,---,,498(-2),[西] 松田国英
