,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,パシコジュリエ,牝2,54,五十嵐冬,1:12.2,,3.0,2,452(-14),[地] 広森久雄
1,2,3,3,ミッドナイトボーイ,牡2,56,桑村真明,1:12.4,1,2.1,1,476(-2),[地] 角川秀樹
2,3,6,6,ブレイクスルー,牝2,54,馬渕繁治,1:12.5,1/2,24.9,7,464(-2),[地] 柳沢好美
3,4,5,5,ロマンス,牝2,54,川島洋人,1:12.9,2,9.3,4,460(+6),[地] 国信満
4,5,2,2,マサノディフィート,牡2,55,小嶋久輝,1:12.9,アタマ,5.9,3,482(+4),[地] 堂山芳則
5,6,4,4,ワイルドワディ,牝2,54,服部茂史,1:13.7,4,31.7,9,472(0),[地] 広森久雄
6,7,8,9,シセイアスカ,牝2,54,坂下秀樹,1:13.9,1,28.2,8,458(-2),[地] 原孝明
7,8,7,7,マルツォ,牡2,55,佐々木国,1:14.3,2,10.6,5,474(-14),[地] 広森久雄
8,9,8,10,モエレアゲイト,牝2,54,小林靖幸,1:14.3,アタマ,114.6,10,476(0),[地] 村上正和
9,10,7,8,コロニアルペガサス,牝2,54,山口竜一,1:14.4,3/4,22.3,6,460(0),[地] 角川秀樹
