,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,13,ナンヨープランタン,牡5,57,武豊,1:33.5,,4.4,2,464(-2),[西] 松永幹夫
1,2,7,10,タイセイメガロス,牡3,56,ルメール,1:33.5,クビ,2.2,1,458(+10),[西] 西村真幸
2,3,3,3,キャッチミーアップ,牝5,55,幸英明,1:33.6,1/2,6.2,3,480(+2),[西] 河内洋
3,4,7,11,メイショウカミシマ,牡6,57,松山弘平,1:33.6,ハナ,99.3,12,458(+2),[西] 石橋守
4,5,2,2,ヘブンリーデイズ,牡5,56,団野大成,1:33.9,2,84.1,11,462(+6),[西] 吉岡辰弥
5,6,5,7,サンディレクション,牡4,57,酒井学,1:34.0,クビ,21.7,7,484(+6),[西] 千田輝彦
6,7,8,12,ジュンライトボルト,牡3,56,藤井勘一,1:34.0,クビ,8.2,4,478(+12),[西] 友道康夫
7,8,6,9,ニシノアップルパイ,牡6,57,和田竜二,1:34.3,1.1/2,78.6,10,506(-13),[西] 田所秀孝
8,9,1,1,クラサーヴィツァ,牝4,55,福永祐一,1:34.4,3/4,13.2,5,464(+2),[西] 武英智
9,10,4,5,リュクスポケット,牡5,57,藤岡佑介,1:34.4,アタマ,13.3,6,520(-2),[西] 庄野靖志
10,11,5,6,アルディテッツァ,牡4,57,池添謙一,1:34.9,3,44.8,9,500(+6),[西] 橋口慎介
11,12,4,4,キボウノダイチ,セ5,57,松若風馬,1:35.0,3/4,26.9,8,498(+2),[西] 杉山晴紀
12,13,6,8,コパノピエール,牡6,57,川須栄彦,1:35.4,2,221.0,13,496(0),[西] 宮徹
