,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,4,ザッハーマイン,牝5,55,的場文男,1:52.8,,3.0,2,496(-6),[地] 出川克己
1,2,5,9,ハーミア,牝3,53,戸崎圭太,1:53.3,2.1/2,2.1,1,498(+3),[地] 荒山勝徳
2,3,6,12,テイエムヨカドー,牝6,55,森泰斗,1:53.6,1.1/2,18.3,5,475(-3),[地] 渋谷信博
3,4,6,11,エロージュ,牝4,55,今野忠成,1:53.8,1,19.5,6,500(-2),[地] 川島正行
4,5,1,1,バージンサファイヤ,牝4,55,坂本和也,1:53.9,1/2,182.1,16,428(-2),[地] 平松徳彦
5,6,7,14,トーセンバスケット,牝5,55,張田京,1:53.9,クビ,23.2,7,511(+6),[地] 川島正一
6,7,1,2,トウホクビジン,牝4,55,大山真吾,1:54.1,1,98.2,13,424(+1),[地] 山中輝久
7,8,4,8,プリマビスティー,牝3,53,左海誠二,1:54.2,3/4,41.6,10,446(+8),[地] 岡林光浩
8,9,4,7,シスターエレキング,牝5,55,山田信大,1:54.3,クビ,68.5,12,446(+6),[地] 出川龍一
9,10,3,6,ボニータシチー,牝4,55,向山牧,1:54.3,ハナ,101.6,14,470(-3),[地] 川嶋弘吉
10,11,7,13,ラインジュエル,牝6,55,真島大輔,1:54.3,クビ,41.4,9,480(-4),[地] 鷹見浩
11,12,8,15,エンタノメガミ,牝6,55,板野央,1:54.6,1.1/2,114.6,15,478(+7),[地] 中塚猛
12,13,5,10,フサイチミライ,牝7,55,御神本訓,1:54.6,クビ,15.5,4,456(+5),[地] 荒山勝徳
13,14,2,3,バックアタック,牝3,53,Ａ．ムン,1:54.7,1/2,29.9,8,483(+10),[地] 宗形竹見
14,15,8,16,キーポケット,牝6,55,田中学,1:54.8,1/2,48.4,11,489(+1),[地] 吉行龍穂
15,16,3,5,ヒロアンジェロ,牝5,55,坂井英光,1:55.1,1.1/2,6.0,3,498(-4),[地] 鷹見浩
