,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,メジロチャンプ,牡3,54,藤田伸二,1:28.7,,4.8,2.0,490(-2),[東] 伊藤圭三
1,2,5,8,ファイアーフロート,牡3,54,三浦皇成,1:28.9,1.1/2,5.8,3.0,478(+18),[東] 小笠倫弘
2,3,4,5,レンディル,牡3,54,横山典弘,1:29.0,クビ,3.8,1.0,496(0),[東] 藤沢和雄
3,4,4,6,ボタニカルアート,牡4,57,池添謙一,1:29.2,1.1/4,29.0,9.0,458(+2),[東] 加藤征弘
4,5,6,9,グラスキング,牡3,54,丸田恭介,1:29.2,アタマ,23.4,7.0,500(-4),[東] 尾形充弘
5,6,3,4,サダムイダテン,牡4,57,四位洋文,1:29.3,1/2,5.9,4.0,482(-6),[西] 中村均
6,7,3,3,マイネルスカット,牡6,57,中舘英二,1:29.4,クビ,6.6,5.0,506(+4),[東] 上原博之
7,8,5,7,ヒカルダイヤモンド,牝5,55,安藤勝己,1:29.4,アタマ,7.6,6.0,472(+4),[東] 栗田博憲
8,9,1,1,コンプリートラン,牡5,57,津村明秀,1:29.4,アタマ,85.6,12.0,442(0),[東] 高木登
9,10,6,10,パープルカフェ,牝6,55,武幸四郎,1:30.1,4,58.3,10.0,496(-4),[東] 中野栄治
10,11,7,11,ウグイスジョウ,牝6,55,長谷川浩,1:30.1,クビ,78.6,11.0,470(-4),[西] 田所秀孝
11,12,8,14,アップグレーデッド,牡5,57,北村友一,1:30.3,1.1/4,23.8,8.0,472(-10),[東] 加藤和宏
12,13,8,13,メイショウホクシン,牡7,57,秋山真一,1:30.8,3,151.2,13.0,524(+4),[西] 増本豊
13,除,7,12,アースコマンダー,牡5,57,岩田康誠,,,---,,476(0),[西] 野元昭
