,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,7,ファイアーフロート,牡8,57,赤岡修次,1:28.8,,1.6,1,506(-3),[地] 松木啓助
1,2,8,11,バーチャルトラック,牡6,57,永森大智,1:29.1,1.1/2,4.3,2,455(+3),[地] 雑賀正光
2,3,1,1,モスコーオペラ,牝4,55,佐原秀泰,1:29.5,2,33.4,6,463(+1),[地] 松木啓助
3,4,8,10,リワードアンク,牡5,57,宮川実,1:29.7,1,5.3,3,469(+3),[地] 雑賀正光
4,5,3,3,サトノロマネ,セ8,57,中村尚平,1:29.7,ハナ,32.8,5,468(+1),[地] 雑賀正光
5,6,2,2,ナムラハンター,牡9,57,妹尾浩一,1:30.1,2,9.8,4,520(+2),[地] 田中守
6,7,7,8,シーセラピス,セ7,57,岡村卓弥,1:30.3,1,76.5,8,458(-2),[地] 雑賀正光
7,8,4,4,ザグ,牡8,57,中西達也,1:30.4,1/2,131.2,9,477(+3),[地] 炭田健二
8,9,7,9,ヒロカミヒメ,牝5,55,別府真衣,1:30.5,1/2,49.6,7,472(+2),[地] 大関吉明
9,10,6,6,ケイズイーグル,牡5,57,西山裕貴,1:31.4,4,221.7,11,480(+3),[地] 松木啓助
10,11,5,5,ビーボタンダッシュ,牡9,57,山頭信義,1:32.4,5,204.1,10,505(-3),[地] 田中守
