,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,レトリーブ,牡2,55,佐藤友則,1:30.7,,1.4,1,447(0),[地] 井上孝彦
1,2,4,4,ブラックポイント,牡2,55,浜口楠彦,1:30.9,1.1/2,5.8,3,451(+8),[地] 松原義夫
2,3,7,8,トミノペガサス,牡2,55,安部幸夫,1:31.1,3/4,9.1,4,475(+9),[地] 藤田正治
3,4,1,1,モエレグランプリ,牡2,55,花本正三,1:31.1,クビ,29.2,7,479(+5),[地] 伊藤強一
4,5,6,6,カキツバタロイヤル,牡2,55,阪上忠匡,1:31.2,1/2,5.7,2,450(0),[地] 森山英雄
5,6,3,3,メイホウマリー,牝2,54,大塚研司,1:32.9,8,77.9,9,389(-1),[地] 松原義夫
6,7,8,9,トキノグラディウス,牡2,55,岡部誠,1:33.5,3,70.1,8,459(+3),[地] 藤田正治
7,8,8,10,ニッシンランラン,牝2,54,東川公則,1:33.7,1.1/2,18.5,5,450(-7),[地] 藤田正治
8,9,7,7,ロータスボール,牝2,54,尾島徹,1:34.2,2.1/2,140.1,10,472(-10),[地] 伊藤強一
9,10,5,5,クロミツジョウ,牝2,54,筒井勇介,1:35.0,4,25.1,6,420(-2),[地] 森山英雄
