,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,14,ヴィエントシチー,牡4,55,河内洋,1:23.0,,3.7,2,466(+4),[西] 田中耕太
1,2,6,11,センターキャッスル,牡4,55,石橋守,1:24.0,6,11.5,5,490(+4),[西] 目野哲也
2,3,7,12,ツルマルタイクーン,牡4,55,高橋亮,1:24.1,3/4,16.2,6,526(+2),[西] 橋口弘次
3,4,1,1,スターコレクション,牝4,53,安藤勝己,1:24.2,クビ,70.3,11,398(-12),[地] 鷲見昌勇
4,5,6,10,タイキリリー,牝4,53,武豊,1:24.2,ハナ,2.8,1,410(-2),[西] 松元茂樹
5,6,3,5,ニシヤマシャトー,牡4,55,上村洋行,1:24.2,クビ,17.3,7,472(-4),[西] 島崎宏
6,7,7,13,ウララマンスタ,牡4,55,和田竜二,1:24.5,2,88.6,12,482(0),[西] 鶴留明雄
7,8,5,9,フォーカルスター,牝4,53,菅谷正巳,1:24.7,1.1/2,7.0,4,436(+10),[西] 菅谷禎高
8,9,2,2,タマモチーフ,牡4,55,白坂聡,1:24.9,1.1/2,347.4,15,370(0),[西] 佐藤正雄
9,10,5,8,ワコーヒサリュウ,牡4,55,菊沢隆仁,1:25.1,1.1/2,198.9,14,442(-4),[西] 清水久雄
10,11,8,15,エクセレントジョイ,牝4,53,松田大作,1:25.2,3/4,59.6,10,398(0),[西] 佐々木晶
11,12,2,3,スーパーシンガー,牝4,53,酒井学,1:25.4,1.1/4,6.2,3,424(0),[西] 二分久男
12,13,3,4,アルアラン,牡4,55,武幸四郎,1:25.7,1.3/4,21.5,8,464(+8),[西] 伊藤修司
13,14,4,7,カノヤハヤブサ,牡4,55,熊沢重文,1:25.8,クビ,182.1,13,412(-4),[西] 斉藤義美
14,15,4,6,ログキャビン,牡4,55,藤田伸二,1:26.7,5,34.5,9,478(+2),[西] 清水出美
