,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,ダイナミックグロウ,牡3,57,ホワイト,1:50.7,,13.5,6,464(+4),[西] 目野哲也
1,2,7,12,タガノサイクロン,牡4,58,角田晃一,1:50.9,1,2.5,1,486(+4),[西] 池添兼雄
2,3,3,5,サンワードラン,牡5,58,シュタル,1:51.1,1.1/2,32.9,10,506(-6),[西] 白井寿昭
3,4,8,15,ネイキッド,牡3,57,ウィリア,1:51.3,1.1/4,5.4,3,478(+2),[西] 浜田光正
4,5,7,13,ナナヨーヒマワリ,牡6,58,後藤浩輝,1:51.6,2,17.8,7,504(+2),[西] 小原伊佐
5,6,4,6,リスキーアフェア,牡5,58,プラード,1:51.7,1/2,83.9,13,502(-6),[東] 勢司和浩
6,7,4,7,ヤマタケゴールデン,牡4,58,岩田康誠,1:51.7,クビ,55.4,11,498(-6),[東] 畠山重則
7,8,6,11,コートユーフォリア,牡3,57,サンダー,1:52.0,1.3/4,12.1,4,478(-2),[西] 岡田稲男
8,9,2,3,ヴィオラポンポーサ,牡6,58,安藤勝己,1:52.4,2.1/2,100.4,15,452(-4),[東] 高木登
9,10,5,9,マチカネモエギ,牡6,58,赤岡修次,1:52.5,1/2,100.1,14,440(+4),[西] 南井克巳
10,11,8,14,ランダムシード,牡5,58,パスキエ,1:53.0,3,21.5,8,496(+6),[東] 宗像義忠
11,12,1,1,メイショウゲンスイ,牡3,57,田中勝春,1:53.3,1.3/4,4.7,2,508(+8),[西] 白井寿昭
12,13,6,10,セレスクラブ,牡5,58,武豊,1:53.3,クビ,13.0,5,476(+2),[西] 鮫島一歩
13,14,3,4,セルフリスペクト,牡6,58,ルパルー,1:53.4,クビ,66.0,12,480(-14),[東] 鈴木伸尋
14,15,5,8,フサイチギガダイヤ,牡4,58,ボッソン,1:55.2,大,29.1,9,472(-6),[西] 森秀行
