,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,10,ペプチドナイル,牡5,57.5,藤岡佑介,1:43.0,,3.1,1,530(-6),[西] 武英智
1,2,6,9,ルコルセール,牡5,57.0,鮫島克駿,1:43.6,3.1/2,5.2,3,518(0),[東] 堀宣行
2,3,8,13,セキフウ,牡4,57.5,ルメール,1:43.6,アタマ,5.1,2,490(0),[西] 武幸四郎
3,4,2,2,アシャカトブ,牡7,58.0,丹内祐次,1:43.9,1.3/4,12.2,6,514(+16),[東] 小笠倫弘
4,5,4,6,パワーブローキング,牡4,56.0,横山和生,1:44.6,4,9.3,5,520(+2),[東] 栗田徹
5,6,1,1,ロッシュローブ,牡6,57.0,浜中俊,1:44.8,1.1/4,24.5,8,504(+2),[西] 田中克典
6,7,7,12,アメリカンフェイス,牡6,54.0,佐々木大,1:44.8,ハナ,170.5,12,520(+10),[東] 戸田博文
7,8,3,3,ファルコニア,牡6,58.5,吉田隼人,1:44.9,1,39.2,10,472(+4),[西] 高野友和
8,9,5,7,プリティーチャンス,牝6,55.5,富田暁,1:45.1,1.1/2,26.9,9,482(+10),[西] 野中賢二
9,10,4,5,イモータルスモーク,牡6,54.0,勝浦正樹,1:45.2,1/2,205.9,13,530(+10),[東] 金成貴史
10,11,7,11,メイショウユズルハ,牡4,55.0,岩田康誠,1:45.3,1/2,6.0,4,498(+4),[西] 岡田稲男
11,12,3,4,スライリー,牝5,53.0,横山琉人,1:45.5,1.1/2,72.4,11,446(0),[東] 相沢郁
12,13,8,14,ウェルドーン,牝5,55.0,武豊,1:46.5,6,15.8,7,514(0),[西] 角田晃一
13,14,5,8,ドウドウキリシマ,牡7,53.0,黛弘人,1:48.9,大,433.4,14,498(+2),[東] 天間昭一
