,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,ユティタム,牡2,55,川田将雅,1:54.0,,1.1,1,522(+20),[西] 須貝尚介
1,2,6,9,サンデーヒーロー,牡2,55,坂井瑠星,1:55.3,8,24.8,5,460(+2),[西] 中村直也
2,3,7,10,リオンエトワール,牡2,55,古川吉洋,1:55.5,1.1/2,247.1,9,428(0),[西] 橋口慎介
3,4,7,11,セブンスストリート,牡2,55,松山弘平,1:55.7,1.1/4,26.9,6,460(+2),[西] 吉岡辰弥
4,5,8,13,ノエマ,牡2,55,和田竜二,1:56.7,6,11.3,3,498(+6),[西] 平田修
5,6,5,6,ドウフォルス,牡2,55,武豊,1:57.4,4,15.0,4,486(-6),[西] 友道康夫
6,7,6,8,デルマアビセタオシ,牡2,55,荻野琢真,1:57.5,3/4,475.3,13,476(-4),[西] 牧田和弥
7,8,4,5,ハーベストデイ,牡2,55,岩田康誠,1:57.6,クビ,182.3,8,484(+4),[西] 松下武士
8,9,5,7,カズペトシーン,牡2,55,川須栄彦,1:57.8,1.1/4,10.8,2,470(+2),[西] 池添学
9,10,3,3,トリシューラ,牡2,55,中井裕二,1:57.9,3/4,253.0,10,446(+8),[西] 杉山佳明
10,11,4,4,スーパームーン,牡2,55,国分優作,1:58.7,5,109.6,7,456(+4),[西] 渡辺薫彦
11,12,2,2,サンクスギビング,牡2,55,城戸義政,1:59.3,4,446.8,12,470(-4),[西] 羽月友彦
12,13,8,12,ユキノソックス,牝2,51,大久保友,1:59.6,2,347.9,11,456(+6),[西] 宮本博
