,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,5,ビーエイブルトゥ,牝6,54,南郷家全,0:50.7,,4.1,3,473(+4),[地] 村上昌幸
1,2,4,4,ダズンフラワー,牝8,54,陶文峰,0:50.8,3/4,5.1,4,424(-4),[地] 菅原右吉
2,3,3,3,スターオブホープ,牝5,54,塚本涼人,0:51.0,1.1/2,29.8,7,462(+10),[地] 佐藤雅彦
3,4,8,9,アウマクア,牡5,53,関本玲花,0:51.1,1/2,10.6,5,515(+17),[地] 佐藤雅彦
4,5,6,6,ノットオンリー,セ8,56,鈴木祐,0:51.1,アタマ,65.6,9,450(-1),[地] 伊藤和
5,6,7,7,アンジュレーヴ,牝8,54,大坪慎,0:51.7,4,3.5,1,463(0),[地] 平澤芳三
6,7,1,1,タイセイナトゥーラ,牝3,54,高松亮,0:51.9,1,39.5,8,445(+2),[地] 佐藤雅彦
7,8,2,2,サンパリス,牝4,54,小林凌,0:52.1,1.1/4,11.1,6,463(+3),[地] 櫻田康二
8,9,8,10,ミツカネショコラ,牝5,54,高橋悠里,0:52.1,ハナ,3.7,2,426(+4),[地] 伊藤和忍
9,10,7,8,エイシンスレイマン,牡8,56,岩本怜,0:53.5,9,73.9,10,464(+1),[地] 三野宮通
