,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,9,スペクタクルダンス,牡2,53,五十嵐冬,1:42.8,,---,4,458(0),[地] 広森久雄
1,2,1,1,ビービートルネード,牡2,53,宮崎光行,1:43.0,1,---,1,462(0),[地] 林和弘
2,3,4,4,ブレスアゲイン,牝2,53,中村裕司,1:44.2,6,---,7,444(0),[地] 柳沢好美
3,4,7,7,オールビッグ,牡2,53,川島洋人,1:44.5,1.1/2,---,2,484(0),[地] 鈴木英二
4,5,2,2,モンヨシゴールド,牝2,53,千葉津代,1:46.2,8,---,3,448(0),[地] 柳沢好美
5,6,6,6,ファイトケーケ,牡2,53,小野望,1:46.3,1/2,---,6,518(0),[地] 恵多谷豊
6,7,5,5,アディージェ,牝2,53,坂下秀樹,1:47.4,5,---,9,506(0),[地] 原孝明
7,8,3,3,エアレンジャー,牡2,53,岩橋勇二,1:47.9,2.1/2,---,5,542(0),[地] 成田春男
8,9,7,8,ミステリーワールド,牡2,53,斉藤正弘,1:48.6,3,---,8,414(0),[地] 高橋司
9,10,8,10,オースミコメット,牡2,53,服部茂史,1:49.3,3,---,10,460(0),[地] 佐々木一
