,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,8,クリソベリル,牡4,57,川田将雅,2:05.3,,3.1,2,540(0),[西] 音無秀孝
1,2,7,11,オメガパフューム,牡5,57,Ｍ．デム,2:05.7,2,2.0,1,452(-8),[西] 安田翔伍
2,3,4,6,チュウワウィザード,牡5,57,Ｃ．ルメ,2:05.9,1.1/4,5.2,3,489(+11),[西] 大久保龍
3,4,3,4,ワイドファラオ,牡4,57,福永祐一,2:06.0,クビ,25.6,6,510(+4),[西] 角居勝彦
4,5,6,9,ノンコノユメ,セ8,57,真島大輔,2:06.3,1.3/4,35.9,7,450(-2),[地] 荒山勝徳
5,6,8,14,ケイティブレイブ,牡7,57,長岡禎仁,2:06.3,クビ,21.6,5,520(-1),[西] 杉山晴紀
6,7,3,3,ミツバ,牡8,57,和田竜二,2:06.5,3/4,377.0,11,475(-9),[西] 加用正
7,8,4,5,ストライクイーグル,牡7,57,御神本訓,2:06.5,ハナ,143.5,9,509(-4),[地] 藤田輝信
8,9,5,7,サブノクロヒョウ,牡7,57,西啓太,2:07.3,4,973.7,12,487(-2),[地] 阪本一栄
9,10,2,2,ルヴァンスレーヴ,牡5,57,Ｄ．レー,2:07.5,3/4,8.6,4,485(-14),[東] 萩原清
10,11,7,12,ヒカリオーソ,牡4,57,山崎誠士,2:07.7,1.1/4,258.9,10,468(-2),[地] 岩本洋
11,12,8,13,キャッスルクラウン,牡6,57,岡村健司,2:08.1,2,999.9,14,461(+2),[地] 渋谷信博
12,13,1,1,モジアナフレイバー,牡5,57,繁田健一,2:08.5,2,77.0,8,520(+4),[地] 福永敏
13,14,6,10,フレアリングダイヤ,牡5,57,楢崎功祐,2:08.7,1,999.9,13,506(-11),[地] 市村誠
