,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,6,ゴライコウ,牡2,55,石川倭,1:53.5,,22.0,9,506(+6),[西] 新谷功一
1,2,7,11,ベルピット,牡2,55,桑村真明,1:54.0,2.1/2,3.0,1,482(+2),[地] 角川秀樹
2,3,3,3,リアルミー,牡2,55,服部茂史,1:54.3,1.1/2,10.6,5,470(+8),[地] 田中淳司
3,4,4,4,オーマイグッネス,牡2,55,阿部龍,1:54.4,3/4,10.9,6,472(+6),[地] 角川秀樹
4,5,6,8,タイガーチャージ,牡2,55,落合玄太,1:54.7,1.1/2,73.7,10,488(0),[地] 田中淳司
5,6,6,9,テレパシー,牝2,54,和田竜二,1:54.9,1,11.3,7,506(+14),[西] 石坂公一
6,7,7,10,エコロアレス,牡2,55,池添謙一,1:55.0,クビ,4.1,2,466(+6),[西] 森秀行
7,8,1,1,ナチュラルリバー,牡2,55,藤岡佑介,1:55.1,1/2,5.7,3,476(+8),[西] 武英智
8,9,4,5,スギノプリンセス,牝2,54,五十嵐冬,1:55.7,3,9.1,4,498(+4),[地] 田中正二
9,10,8,12,リストン,牡2,55,阪野学,1:56.0,1.1/2,239.6,13,462(+6),[地] 田中正二
10,11,8,13,リアルガー,牡2,55,小野楓馬,1:56.6,3,198.0,12,466(+2),[地] 黒川智貴
11,12,5,7,ラッキーストーリー,牡2,55,井上俊彦,1:56.9,1.1/2,155.2,11,492(-10),[地] 佐々木国
12,13,2,2,ゴッドインパルス,セ2,55,田辺裕信,1:57.0,クビ,22.0,8,464(-2),[東] 中舘英二
