,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,ラブラブパイロ,牝3,55,西啓太,1:53.1,,37.9,8,469(0),[地] 荒井朋弘
1,2,6,6,リコーヴィクター,牡3,58,笹川翼,1:53.2,1/2,1.8,1,483(+15),[地] 荒山勝徳
2,3,8,9,ジャストメンバー,牡3,56,真島大輔,1:53.3,1/2,5.8,3,445(-1),[地] 阪本一栄
3,4,7,7,コスモポポラリタ,牝3,56,和田譲治,1:53.7,2,33.9,7,495(-4),[地] 宗形竹見
4,5,1,1,エルナンデス,牡3,56,藤田凌,1:54.2,2.1/2,108.0,9,529(-2),[地] 橋本和馬
5,6,3,3,レディーアーサー,牝3,55,御神本訓,1:54.2,ハナ,7.1,4,502(+1),[地] 鈴木啓之
6,7,8,8,ラリュヌブランシュ,牝3,54,矢野貴之,1:54.7,2.1/2,3.8,2,456(-3),[地] 森下淳平
7,8,5,5,ヴァンクリーフ,牡3,56,山崎誠士,1:54.7,クビ,29.0,6,469(+6),[地] 渡辺和雄
8,9,4,4,リンカイテン,牝3,54,森泰斗,1:54.8,クビ,26.8,5,471(-4),[地] 橋本和馬
