,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,13,ケイアイレオーネ,牡2,55,ムーア,1:25.9,,8.8,2,538(-6),[西] 西浦勝一
1,2,8,14,タイセイロバリー,牡2,55,勝浦正樹,1:25.9,ハナ,9.3,3,480(-2),[東] 菊川正達
2,3,3,3,シュトラール,牡2,55,蛯名正義,1:26.2,2,1.3,1,470(-4),[東] 武藤善則
3,4,6,10,イーサンヘイロー,牡2,55,吉田豊,1:26.5,1.3/4,113.0,11,454(-4),[東] 大和田成
4,5,4,5,カシノピカチュウ,牡2,55,大庭和弥,1:26.6,1/2,239.9,13,462(-4),[西] 牧田和弥
5,6,5,8,サウンドトゥルー,牡2,55,田辺裕信,1:26.8,1.1/4,41.7,8,472(+2),[東] 高木登
6,7,4,6,ポルスターシャイン,牡2,55,北村宏司,1:26.8,アタマ,33.3,7,476(-2),[東] 根本康広
7,8,1,1,チェリーサターン,牡2,55,武士沢友,1:26.8,アタマ,391.0,14,514(+2),[東] 勢司和浩
8,9,2,2,ジョージジョージ,牡2,55,江田照男,1:27.3,3,61.0,10,446(+4),[東] 高橋義博
9,10,3,4,ショウナンアポロン,牡2,55,福永祐一,1:27.4,1/2,29.7,6,484(-2),[東] 古賀史生
10,11,7,11,メイショウオオカゼ,牡2,55,和田竜二,1:27.4,クビ,18.2,5,522(0),[西] 南井克巳
11,12,6,9,バイタルフォルム,牡2,55,田中勝春,1:27.4,アタマ,15.0,4,480(+14),[東] 新開幸一
12,13,5,7,コスモリープリング,牝2,54,石橋脩,1:28.5,7,59.0,9,486(+4),[東] 古賀慎明
13,14,7,12,ウィンゲイル,牡2,55,戸崎圭太,1:29.1,3.1/2,235.9,12,452(0),[地] 八木仁
