,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,7,ワンダーアキュート,牡9,57,和田竜二,1:37.4,,18.4,4,508(-16),[西] 佐藤正雄
1,2,3,3,ベストウォーリア,牡5,57,福永祐一,1:37.6,1,1.9,1,510(-2),[西] 石坂正
2,3,6,6,ハッピースプリント,牡4,57,宮崎光行,1:37.9,1.1/2,19.8,5,525(-1),[地] 森下淳平
3,4,5,5,クリソライト,牡5,57,武豊,1:38.8,4,3.7,3,492(-2),[西] 音無秀孝
4,5,1,1,サンビスタ,牝6,55,岩田康誠,1:39.2,2,2.9,2,479(-2),[西] 角居勝彦
5,6,2,2,バトードール,牡8,57,今野忠成,1:39.3,1/2,217.4,8,536(-4),[地] 川島正一
6,7,8,9,セイクリムズン,牡9,57,幸英明,1:39.5,1.1/2,112.6,7,518(+7),[西] 服部利之
7,8,8,10,セイントメモリー,牡8,57,本橋孝太,1:39.8,1.1/2,52.3,6,500(0),[地] 月岡健二
8,9,4,4,クロスオーバー,牝4,55,畑中信司,1:41.2,7,467.7,9,430(-6),[地] 別府真司
9,10,7,8,ユーセイクインサー,牝5,55,佐藤友則,1:42.0,4,694.2,10,438(+6),[地] 笹野博司
