,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,4,スローンブラン,牡3,54,小林真治,1:43.1,,---,6,488(-1),[地] 高橋三郎
1,2,2,2,ミキノポテンシャル,牡3,56,佐藤隆,1:43.3,1,---,3,420(-6),[地] 広瀬龍夫
2,3,7,9,ナミ,牝3,57,的場文男,1:43.3,アタマ,---,8,436(-7),[地] 蛯名末五
3,4,6,7,トミケンファントム,牡3,55,石崎隆之,1:43.4,1/2,---,1,480(-2),[地] 出川克己
4,5,1,1,テンポウキング,牡3,54,今野忠成,1:43.5,1/2,---,7,485(0),[地] 安池保
5,6,6,6,バイカルフォンテン,牡3,54,佐藤祐樹,1:43.8,1.1/2,---,10,461(-1),[地] 波多野高
6,7,3,3,カミカゼアミー,牡3,54,山中尊徳,1:43.9,1/2,---,9,518(-1),[地] 金沢豊
7,8,7,8,ラパンアジル,牡3,54,桑島孝春,1:44.1,1,---,11,502(+1),[地] 岡島茂
8,9,8,10,ノトテイオー,牡3,55,金子正彦,1:44.5,2,---,5,468(0),[地] 山田正実
9,10,8,11,インターヴェッタ,牡3,54,森下博,1:45.3,4,---,2,509(-5),[地] 岩本洋
10,11,5,5,イシノギャラント,牡3,54,久保秀男,1:46.2,5,---,4,452(-6),[地] 武井栄一
