,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,9,アビッグチア,牝2,54,嶋田純次,1:50.8,,49.1,10,506(0),[東] 堀井雅広
1,2,7,10,ウインチェレステ,牡2,55,横山武史,1:51.0,1.1/4,17.9,5,482(0),[東] 畠山吉宏
2,3,2,2,ロジローズ,牡2,55,池添謙一,1:51.0,アタマ,3.8,2,454(0),[東] 大竹正博
3,4,6,8,イザニコス,牝2,54,柴田大知,1:51.1,アタマ,80.0,11,434(0),[東] 和田正一
4,5,8,13,ガンダルフ,牡2,55,川田将雅,1:51.3,1.1/4,2.6,1,488(0),[東] 国枝栄
5,6,1,1,ギャラクシーエッジ,牡2,55,ルメール,1:51.3,ハナ,4.6,3,484(0),[東] 萩原清
6,7,3,3,オンザライン,牡2,55,三浦皇成,1:51.3,クビ,48.9,9,450(0),[東] 大和田成
7,8,5,6,ナイトエクスプレス,牡2,55,木幡巧也,1:51.4,1/2,179.1,13,458(0),[東] 牧光二
8,9,8,12,ソングオブソフィア,牝2,54,松山弘平,1:51.5,3/4,8.8,4,460(0),[東] 奥村武
9,10,5,7,ロングラン,牡2,55,横山典弘,1:51.8,1.3/4,25.7,7,486(0),[東] 和田勇介
10,11,4,4,フィルモグラフィー,牝2,54,田辺裕信,1:51.8,クビ,45.5,8,458(0),[東] 伊藤大士
11,12,4,5,コスモジェニー,牝2,51,秋山稔樹,1:51.9,クビ,139.0,12,410(0),[東] 宗像義忠
12,13,7,11,コンフィアンス,牝2,52,藤田菜七,1:52.2,1.3/4,24.8,6,480(0),[東] 戸田博文
