,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,6,セイスコーピオン,牡7,58,赤岡修次,1:40.7,,15.2,5,520(-3),[地] 八木正喜
1,2,2,4,トーセンハルカゼ,牡7,57,真島大輔,1:41.0,1.1/2,5.4,3,499(+5),[地] 小久保智
2,3,4,7,ケイアイレオーネ,牡7,59,的場文男,1:41.1,3/4,2.6,1,574(+2),[地] 佐宗応和
3,4,7,13,トロヴァオ,牡4,57,御神本訓,1:41.3,1.1/4,3.0,2,470(+6),[地] 荒山勝徳
4,5,8,16,ソッサスブレイ,牡3,53,山崎誠士,1:41.5,1.1/4,26.7,8,455(+2),[地] 山本学
5,6,5,9,テムジン,牡8,57,保園翔也,1:41.9,2,143.4,14,490(-4),[地] 小久保智
6,7,6,11,コンドルダンス,牡5,57,柏木健宏,1:42.2,1.1/2,14.2,4,484(+3),[地] 栗田裕光
7,8,7,14,ドレッドノート,セ9,57,中野省吾,1:42.5,1.3/4,127.3,13,496(+5),[地] 橋本和馬
8,9,1,2,ミヤジマッキー,牡7,57,瀧川寿希,1:42.6,クビ,58.6,9,513(-2),[地] 三坂盛雄
9,10,2,3,キープインタッチ,牡7,57,吉原寛人,1:42.6,ハナ,64.1,10,519(+8),[地] 鈴木啓之
10,11,4,8,オリオンザジャパン,セ7,57,矢野貴之,1:42.7,クビ,15.4,6,469(-2),[地] 的場直之
11,12,8,15,インフォーマー,牡6,57,張田昂,1:42.9,3/4,199.9,15,524(+18),[地] 深野塁
12,13,1,1,レガルスイ,牡6,57,石崎駿,1:43.5,3,25.3,7,515(+7),[地] 矢野義幸
13,14,3,5,サクラレグナム,牡8,57,笹川翼,1:43.8,1.3/4,68.5,11,520(+3),[地] 栗田裕光
14,15,5,10,シャドウパーティー,セ8,57,Ｒ．クア,1:43.8,アタマ,111.8,12,505(+6),[地] 渡辺和雄
15,16,6,12,デュアルスウォード,牡9,57,小林拓未,1:46.3,大,299.2,16,483(+11),[地] 香取和孝
