,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,2,ダイメイフジ,牡4,55.0,酒井学,1:20.7,,11.4,3,512(0),[西] 森田直行
1,2,1,1,モズアスコット,牡4,56.5,坂井瑠星,1:20.7,クビ,1.5,1,488(+2),[西] 矢作芳人
2,3,2,3,ボンセルヴィーソ,牡4,54.0,菱田裕二,1:20.7,ハナ,17.2,6,470(+2),[西] 池添学
3,4,2,4,アポロノシンザン,牡6,56.0,津村明秀,1:20.8,クビ,15.1,4,476(-4),[東] 鈴木伸尋
4,5,6,12,トウショウピスト,牡6,56.0,鮫島克駿,1:20.8,クビ,40.7,9,480(+6),[西] 角田晃一
5,6,5,9,ミスエルテ,牝4,53.0,北村友一,1:21.0,1.1/4,27.7,8,466(-2),[西] 池江泰寿
6,7,3,5,タガノブルグ,牡7,55.0,小崎綾也,1:21.2,1.1/4,79.5,12,448(-2),[西] 鮫島一歩
7,8,8,15,カラクレナイ,牝4,54.0,松若風馬,1:21.3,クビ,7.2,2,504(+8),[西] 松下武士
8,9,3,6,コウエイタケル,牡7,54.0,松山弘平,1:21.4,3/4,26.4,7,496(+10),[西] 山内研二
9,10,7,14,ムーンクレスト,牡6,55.0,四位洋文,1:21.6,1.1/4,49.4,10,476(0),[西] 本田優
10,11,5,10,スマートカルロス,牡6,54.0,田中健,1:21.6,クビ,111.1,13,472(0),[西] 浅見秀一
11,12,4,8,ユキノアイオロス,セ10,52.0,秋山真一,1:21.6,アタマ,155.0,15,478(-12),[東] 林徹
12,13,4,7,マイネルバールマン,牡4,54.0,和田竜二,1:21.7,1/2,16.7,5,514(-10),[東] 栗田博憲
13,14,6,11,トーキングドラム,牡8,56.0,幸英明,1:21.9,1,117.5,14,484(+2),[東] 斎藤誠
14,15,7,13,アルマワイオリ,牡6,55.0,国分優作,1:21.9,アタマ,203.0,16,482(-6),[西] 西浦勝一
15,16,8,16,ラングレー,牡7,55.0,小牧太,1:21.9,クビ,206.4,17,492(-2),[西] 矢作芳人
16,17,8,17,モンドキャンノ,牡4,55.0,古川吉洋,1:22.8,5,74.2,11,476(+8),[西] 安田隆行
