,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,4,オンザロックス,牡5,56,村上忍,1:35.2,,7.8,4.0,479(-3),[西] 森秀行
1,2,6,7,リョウランヒーロー,牡4,54,横山武史,1:36.4,7,1.8,1.0,484(+6),[東] 小野次郎
2,3,5,6,ナムラキヌ,牝3,54,山本聡哉,1:37.0,4,6.9,3.0,465(+11),[西] 高橋義忠
3,4,8,11,スマートレジェンド,牡6,56,高松亮,1:37.5,3,45.1,8.0,495(+3),[地] 小林俊彦
4,5,6,8,ワイルドソング,牡4,56,陶文峰,1:37.5,クビ,3.9,2.0,545(+2),[地] 菅原右吉
5,6,7,10,アイアムジュピター,牡4,56,菅原辰徳,1:37.7,3/4,71.2,9.0,500(-4),[東] 奥平雅士
6,7,7,9,モルフェワイン,牝7,54,山本政聡,1:37.9,1,26.5,7.0,495(+7),[地] 櫻田浩樹
7,8,3,3,ベルウッドタマド,牡5,56,鈴木祐,1:38.2,2,97.0,10.0,468(-10),[東] 武市康男
8,9,5,5,ゴールドジャイアン,牡5,56,坂口裕一,1:38.8,4,22.6,6.0,491(+3),[地] 千葉幸喜
9,10,1,1,サンモントレー,牝4,54,丹内祐次,1:38.9,1/2,16.5,5.0,423(-9),[東] 加藤和宏
10,11,2,2,ファイトウィン,牝5,54,阿部英俊,1:39.9,6,231.4,11.0,440(+3),[地] 佐々木由
11,取,8,12,イチフジキング,牡11,56,高橋悠里,,,---,,計不,[地] 小林義明
