,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,10,プロミストウォリア,牡6,57,ムルザバ,1:51.2,,5.1,2,516(-4),[西] 野中賢二
1,2,3,4,ハギノアレグリアス,牡6,57,川田将雅,1:51.6,2,2.7,1,500(+10),[西] 四位洋文
2,3,7,13,ハヤブサナンデクン,牡7,57,福永祐一,1:51.9,2,6.3,3,516(-6),[西] 吉村圭司
3,4,4,7,ウェルカムニュース,牡4,56,イーガン,1:52.3,2.1/2,17.9,7,508(+2),[西] 池江泰寿
4,5,6,11,スマッシングハーツ,牡7,57,鮫島克駿,1:52.3,クビ,10.6,6,514(-8),[西] 新谷功一
5,6,2,3,ロードレガリス,牡8,57,松田大作,1:52.5,1.1/4,30.9,10,520(-8),[西] 野中賢二
6,7,5,8,サンライズウルス,牡5,57,岩田望来,1:52.7,1.1/4,9.5,4,486(-10),[西] 安田翔伍
7,8,2,2,オーヴェルニュ,牡7,57,団野大成,1:52.8,クビ,23.2,8,482(+2),[西] 西村真幸
8,9,1,1,ディクテオン,セ5,57,松山弘平,1:53.0,1.1/4,43.3,11,510(+10),[西] 吉岡辰弥
9,10,8,15,アイアンバローズ,牡6,57,和田竜二,1:53.3,1.3/4,28.1,9,510(+6),[西] 上村洋行
10,11,4,6,マリオマッハー,セ6,57,酒井学,1:53.4,1/2,226.1,15,452(-4),[西] 安達昭夫
11,12,7,12,クリノドラゴン,牡5,58,武豊,1:53.6,1.1/2,10.1,5,490(+8),[西] 大橋勇樹
12,13,5,9,デルマルーヴル,牡7,57,松岡正海,1:53.7,1/2,196.0,14,510(+6),[東] 戸田博文
13,14,8,14,ゲンパチルシファー,牡7,57,幸英明,1:53.8,3/4,65.0,13,534(+14),[西] 佐々木晶
14,中,3,5,ヴァンヤール,牡5,57,荻野極,,,45.8,12,528(-2),[西] 庄野靖志
