,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,9,クリソベリル,牡3,56,Ｃ．ルメ,1:57.3,,1.1,1,544(+4),[西] 音無秀孝
1,2,8,12,ヴァイトブリック,牡3,56,戸崎圭太,1:58.2,5,4.3,2,486(-18),[東] 和田正一
2,3,5,5,バンローズキングス,牡3,56,吉村智洋,1:58.6,2.1/2,278.4,7,472(-1),[地] 松平幸秀
3,4,3,3,エナキョウ,牡3,56,吉原寛人,1:59.2,4,128.6,6,526(0),[地] 田中範雄
4,5,4,4,メスキータ,牡3,56,松山弘平,1:59.4,1.1/2,46.6,5,501(-15),[西] 山内研二
5,6,5,6,ゴールドラグーン,牡3,56,和田竜二,1:59.5,1/2,14.2,3,499(-11),[西] 斉藤崇史
6,7,8,11,ダイシンインディー,牡3,56,岩田康誠,1:59.6,クビ,22.0,4,522(-6),[東] 戸田博文
7,8,2,2,ナラ,牝3,54,筒井勇介,2:00.1,3,345.1,8,407(0),[地] 湯前良人
8,9,6,8,ベストプレゼント,牡3,56,笹田知宏,2:03.5,大,502.0,10,489(+2),[地] 西川精治
9,10,6,7,インペルフェット,牡3,56,永井孝典,2:04.3,5,556.9,12,419(-12),[地] 坂本和也
10,11,7,10,クウミリマ,牡3,56,高畑皓一,2:04.7,2.1/2,545.4,11,410(-2),[地] 坂本和也
11,12,1,1,フィエールデエス,牝3,54,石堂響,2:05.5,5,478.4,9,483(+2),[地] 坂本和也
