,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,9,ロバストミノル,牡5,55,繁田健一,1:49.1,,17.3,5,510(+10),[地] 椎名廣明
1,2,4,4,ハドソンホーネット,牡4,55,真島大輔,1:50.1,5,2.4,1,516(+12),[地] 山田信大
2,3,5,5,トーセンブル,牡3,55,本田正重,1:50.3,3/4,7.0,4,442(+7),[地] 山中尊徳
3,4,7,7,モリデンルンバ,牡5,57,矢野貴之,1:50.8,2.1/2,24.5,8,512(0),[地] 坂本昇
4,5,2,2,パーフェクトデイ,牡5,55,庄司大輔,1:50.9,1/2,21.2,7,472(+5),[地] 川島正一
5,6,3,3,ハニームーン,牡6,57,森泰斗,1:51.0,1/2,18.9,6,496(-2),[地] 山浦武
6,7,6,6,ワグナーコーヴ,牡3,55,御神本訓,1:51.2,1,4.0,2,454(+6),[地] 岡林光浩
7,8,8,8,スティレット,セ8,57,和田譲治,1:51.9,3,4.1,3,457(-11),[地] 岡林光浩
8,9,1,1,キタノイットウセイ,牡8,55,五十嵐冬,1:53.8,9,68.4,9,526(+4),[地] 張田京
