,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,5,10,アントニオピサ,牡5,57,柏木健宏,1:40.2,,18.8,7,509(-3),[地] 松浦裕之
1,2,2,4,ヴェリーハード,牡8,55,本橋孝太,1:40.5,2,25.7,9,509(-3),[地] 秋吉和美
2,3,5,9,マルカンパンサー,牝5,55,的場文男,1:40.6,クビ,2.9,1,496(+1),[地] 高橋三郎
3,4,2,3,ダイヤモンドダンス,牡5,57,矢野貴之,1:40.8,1.1/2,7.5,4,509(-1),[地] 堀千亜樹
4,5,7,13,ジャルディーノ,牡5,55,真島大輔,1:41.3,2.1/2,12.7,6,470(-1),[地] 荒山勝徳
5,6,1,2,ノースソルジャー,牡5,57,繁田健一,1:41.8,2.1/2,6.0,3,503(+1),[地] 米田英世
6,7,4,8,サブノハゴロモ,牝4,55,横川怜央,1:41.9,1/2,39.7,11,470(-3),[地] 鷹見浩
7,8,8,15,センノデバギヤ,牡6,55,笹川翼,1:42.2,1.3/4,64.5,14,514(-2),[地] 米田英世
8,9,4,7,ムサシキングオー,牡5,57,楢崎功祐,1:42.2,ハナ,10.6,5,497(+2),[地] 栗田泰昌
9,10,6,11,プーラヴィーダ,牡5,57,石崎駿,1:42.3,1/2,23.6,8,508(+3),[地] 森下淳平
10,11,1,1,ミータロー,牡4,57,森泰斗,1:42.6,1.1/2,45.4,12,484(+6),[地] 堀千亜樹
11,12,6,12,スマートバベル,牝3,55,沢田龍哉,1:42.6,ハナ,61.2,13,455(-1),[地] 川島正一
12,13,8,16,シンゼンレインボー,牡5,55,東原悠善,1:42.7,1/2,123.3,16,540(-16),[地] 秋吉和美
13,14,3,5,ドバイエキスプレス,牡3,57,御神本訓,1:43.5,4,5.5,2,450(-5),[地] 蛯名雄太
14,15,3,6,ビクトリースガ,牡7,57,町田直希,1:43.8,1.3/4,34.5,10,515(+8),[地] 秋山重美
15,16,7,14,シャークファング,牝3,55,今野忠成,1:45.5,8,117.0,15,488(+6),[地] 秋吉和美
