,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,9,シンボリスウィフト,牡5,56,森泰斗,1:53.3,,2.0,1,490(+1),[地] 石井勝男
1,2,4,5,ドマーニイッサ,牡4,56,有年淳,1:54.7,7,14.9,5,497(-3),[地] 米田英世
2,3,8,14,ヘッドサクセッサー,牡5,56,御神本訓,1:54.8,1/2,16.2,6,490(-5),[地] 矢野義幸
3,4,8,13,ダイワマークスマン,牡4,56,矢野貴之,1:54.8,ハナ,14.0,4,470(+7),[地] 立花伸
4,5,6,10,ゼロワンチャンプ,牡4,56,真島大輔,1:55.0,1.1/4,4.2,2,460(0),[地] 森下淳平
5,6,4,6,クレバーウルフ,牡5,56,山崎誠士,1:55.3,1.1/2,109.0,13,478(+2),[地] 阪本一栄
6,7,3,4,カプレーゼ,牝5,51,瀬川将輝,1:55.6,1.1/2,43.1,11,450(+6),[地] 月岡健二
7,8,3,3,エムアイチャンドラ,牝5,54,安藤洋一,1:55.7,クビ,24.2,8,467(-6),[地] 鈴木啓之
8,9,5,8,キタノイットウセイ,牡4,56,本橋孝太,1:55.8,1/2,7.5,3,510(+4),[地] 月岡健二
9,10,1,1,トップバゴスター,牝5,54,早田功駿,1:55.9,3/4,134.0,14,468(-1),[地] 森谷良臣
10,11,7,11,ナムラマンジロウ,牡4,56,沢田龍哉,1:56.0,1/2,41.1,10,499(-1),[地] 新井清重
11,12,7,12,カントリーウォーク,牡5,56,楢崎功祐,1:56.3,1.1/2,51.7,12,518(-6),[地] 高橋三郎
12,13,2,2,ネクタルブルー,牡4,55,張田昂,1:56.7,2,40.8,9,482(-2),[地] 新井清重
13,14,5,7,コジロー,牡6,56,坂井英光,1:56.8,3/4,23.9,7,532(+2),[地] 宮本康
