,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,11,ストロングサウザー,牡5,56,田辺裕信,2:08.1,,9.0,4,480(+4),[東] 久保田貴
1,2,7,8,マイネルクロップ,牡6,57,丹内祐次,2:08.6,2.1/2,6.8,3,513(-3),[西] 飯田雄三
2,3,3,3,クリノスターオー,牡6,57,幸英明,2:08.6,クビ,3.0,2,548(+12),[西] 高橋義忠
3,4,2,2,マイネルバイカ,牡7,57,柴田大知,2:08.8,3/4,1.8,1,489(+6),[西] 西村真幸
4,5,7,9,マイネルバウンス,牡7,56,川田将雅,2:08.8,ハナ,14.3,5,502(0),[東] 伊藤大士
5,6,6,7,キョウワカイザー,牡6,56,真島正徳,2:10.0,6,47.4,6,533(-1),[地] 大垣敏夫
6,7,1,1,バズーカ,牡4,55,赤岡修次,2:10.2,1,106.1,7,472(-2),[地] 田中範雄
7,8,8,10,リワードレブロン,牡8,56,永森大智,2:10.2,ハナ,504.0,9,492(-6),[地] 雑賀正光
8,9,4,4,コウユーヒーロー,牡9,56,山口勲,2:10.6,2,385.0,8,548(-8),[地] 九日俊光
9,10,6,6,ブランクヴァース,牡7,56,西森将司,2:10.7,1/2,535.6,10,488(0),[地] 別府真司
10,11,5,5,マイネルパルフェ,牡8,56,竹吉徹,2:11.0,1.1/2,662.8,11,513(+7),[地] 山田義人
