,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,11,ドラールアラビアン,牡5,55,佐々木竹,1:50.0,,---,1,513(+3),[地] 赤間清松
1,2,6,7,ケージーラッキー,牡5,55,佐藤正晃,1:50.0,ハナ,---,6,456(-4),[地] 竹山隆
2,3,8,10,サダボーイ,牡5,55,吉井竜一,1:50.0,ハナ,---,8,478(0),[地] 飯野貞次
3,4,1,1,コーネルダイハード,セ5,55,納谷和玖,1:50.1,1/2,---,3,458(-3),[地] 久保杉利
4,5,5,5,ウィナーズグローリ,牡7,55,脇本一幸,1:50.5,2,---,4,470(+1),[地] 中村健二
5,6,2,2,ヒノデキングオー,牡5,55,森下博,1:50.6,1/2,---,5,518(-4),[地] 栗田裕光
6,7,3,3,ナイキバビロン,セ5,55,的場文男,1:50.8,1,---,2,433(-2),[地] 長沼正義
7,8,7,8,エスティギャロップ,牡6,55,佐藤祐樹,1:50.9,3/4,---,7,442(-10),[地] 大山二三
8,9,7,9,オオトネエール,牝5,53,秋田実,1:51.0,1/2,---,10,425(+1),[地] 大山二三
9,10,4,4,ハッケンザン,牡8,55,張田京,1:51.0,アタマ,---,9,472(-1),[地] 三坂盛雄
10,11,6,6,キシュウエース,牝7,53,佐宗応和,1:52.3,6,---,11,447(-6),[地] 松本勉
