,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,8,トゥモローウィング,牡8,54,塚本雄大,1:23.6,,9.5,3,464(-3),[地] 雑賀正光
1,2,5,6,バンケットスクエア,牡5,56,永森大智,1:23.8,1,1.5,1,528(0),[地] 雑賀正光
2,3,3,3,レモンフェイヴァー,牝6,54,大澤誠志,1:24.3,2.1/2,42.2,8,473(-2),[地] 大関吉明
3,4,8,11,トウカイガンバ,牡10,56,上田将司,1:24.4,クビ,13.2,6,500(+7),[地] 中西達也
4,5,1,1,ジャストフォーユー,セ7,55,岡村卓弥,1:24.5,1/2,11.1,4,463(-3),[地] 川野勇馬
5,6,8,12,トーセンスパンキー,牡7,55,宮川実,1:24.5,アタマ,6.0,2,505(+9),[地] 打越勇児
6,7,4,4,ボンナヴァン,牡6,56,倉兼育康,1:25.1,3,51.8,9,537(+5),[地] 細川忠義
7,8,7,10,カノヤルジャンドル,牝6,51,多田羅誠,1:25.4,1.1/2,169.7,11,477(+1),[地] 工藤真司
8,9,7,9,スマートダイバー,牡8,56,林謙佑,1:25.5,3/4,28.4,7,495(+1),[地] 松木啓助
9,10,6,7,ルーヴルヴォイス,牝7,51,別府真衣,1:25.9,2,11.7,5,462(-5),[地] 宮路洋一
10,11,2,2,ヴァイスフェッター,セ8,56,山崎雅由,1:26.3,2,155.6,10,457(0),[地] 那俄性哲
11,12,5,5,ナイトブルーミング,牝9,52,木村直輝,1:26.4,1/2,311.2,12,485(+6),[地] 宮路洋一
