,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,8,モアザンステルス,牡4,55,米倉知,1:30.7,,7.4,4,463(0),[地] 松野勝己
1,2,8,9,セルジューク,牝3,53,吉原寛人,1:30.7,クビ,2.8,2,434(-1),[地] 金田一昌
2,3,3,3,マスカテール,牝4,54,中川雅之,1:31.0,1.1/2,1.9,1,449(-4),[地] 高橋道雄
3,4,8,10,カイジンクン,牡8,55,鬼束亮,1:31.1,3/4,21.3,5,458(-2),[地] 平床良博
4,5,1,1,ビッグクロス,牡3,55,加藤和義,1:31.5,2,43.4,8,460(+1),[地] 服部健一
5,6,4,4,マウントサンデー,牝5,53,畑中信司,1:31.9,2,29.4,6,488(-5),[地] 佐藤茂
6,7,6,6,エイシンアサヒオー,牡4,55,古性秀之,1:32.4,2.1/2,6.2,3,456(+1),[地] 松野勝己
7,8,2,2,ヘルシーキング,牡5,55,熊木良介,1:33.5,5,32.2,7,470(0),[地] 高橋道雄
8,9,7,7,パレスファミリー,牡8,55,端勝成,1:33.8,1.1/2,199.5,10,470(+2),[地] 平床良博
9,10,5,5,カホクノホシ,牡4,55,山中利夫,1:34.3,2.1/2,99.8,9,517(+12),[地] 寺田茂
