,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,フライングキッド,牡3,54,ロバーツ,1:56.0,,2.7,1,446(+6),[東] 鈴木康弘
1,2,4,4,イシノミライ,牡3,54,的場均,1:56.0,ハナ,8.1,4,498(+14),[東] 加賀武見
2,3,8,10,ユーワクイーン,牝3,53,後藤浩輝,1:56.8,5,16.3,7,418(+2),[東] 堀井雅広
3,4,7,7,リージェントブラフ,牡3,54,吉田豊,1:57.0,1.1/4,3.4,2,510(+10),[東] 大久保洋
4,5,3,3,フジミサントリーニ,牡3,54,菊沢隆徳,1:57.3,1.3/4,17.4,8,496(-2),[東] 中尾銑治
5,6,5,5,キングデール,牡3,54,蓑田早人,1:57.5,1.1/2,5.9,3,466(+4),[東] 中野栄治
6,7,2,2,マイネルチケット,牡3,54,加藤和宏,1:57.8,1.3/4,14.0,6,500(+2),[東] 国枝栄
7,8,7,8,ボンフェム,牝3,53,柴田善臣,1:58.7,5,88.6,9,428(-2),[東] 森安弘昭
8,9,8,9,キングダビデ,牡3,54,横山典弘,1:58.8,クビ,9.3,5,506(0),[地] 林正夫
9,10,6,6,カネザオー,牡3,54,関本淳,1:58.9,1/2,158.3,10,472(-3),[地] 五十嵐智
