,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,10,ドライスタウト,牡2,55,戸崎圭太,1:39.2,,1.8,1,520(-4),[西] 牧浦充徳
1,2,4,5,コンバスチョン,牡2,55,松山弘平,1:39.7,2.1/2,7.2,3,496(-4),[東] 伊藤圭三
2,3,2,2,プライルード,牡2,55,張田昂,1:40.8,5,99.2,11,486(+2),[地] 藤田輝信
3,4,1,1,セキフウ,牡2,55,Ｍ．デム,1:41.1,1.1/2,9.3,4,462(-10),[西] 武幸四郎
4,5,7,11,シルトプレ,牡2,55,笹川翼,1:41.2,クビ,15.4,5,462(+6),[地] 櫻井拓章
5,6,5,8,カイカノキセキ,牝2,54,Ｃ．デム,1:41.3,3/4,26.1,7,463(-13),[西] 池添学
6,7,8,13,ライアン,牡2,55,今野忠成,1:41.9,3,64.1,10,470(-6),[地] 小久保智
7,8,3,3,ナッジ,牡2,55,矢野貴之,1:42.0,クビ,17.3,6,480(-6),[地] 田中正二
8,9,6,9,アイスジャイアント,牡2,55,三浦皇成,1:42.3,1.1/2,4.9,2,497(+5),[東] 高柳瑞樹
9,10,5,7,バウチェイサー,牡2,55,笹田知宏,1:42.3,クビ,205.4,13,482(-13),[地] 新子雅司
10,11,3,4,ノブレスノア,牡2,55,森泰斗,1:42.6,1.1/2,31.6,8,478(-2),[地] 小久保智
11,12,4,6,ナインバイパー,牡2,55,御神本訓,1:43.2,3,162.0,12,465(+6),[地] 八木仁
12,13,7,12,マリンスカイ,牡2,55,宮川実,1:43.3,クビ,57.7,9,473(0),[地] 打越勇児
13,14,8,14,モリデンブラック,牡2,55,桑村真明,1:43.4,1/2,320.1,14,484(+8),[地] 桧森邦夫
