,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,8,トミケンシャイリ,牡4,56,今井貴大,1:50.3,,2.8,2,535(-9),[地] 竹下直人
1,2,6,7,ハローマイキー,牡4,56,岡部誠,1:50.4,1/2,2.3,1,486(+5),[地] 安部幸夫
2,3,1,1,スズカゴウケツ,牡5,56,山田祥雄,1:50.4,ハナ,5.3,3,496(-1),[地] 沖田明子
3,4,5,5,サトノグリッター,牡7,55,浅野皓大,1:51.7,6,17.7,4,498(+2),[地] 今津博之
4,5,7,9,ウインフェーデ,牡4,56,丸野勝虎,1:51.8,クビ,47.8,10,485(+5),[地] 今津博之
5,6,8,12,エイシンエンジョイ,牡7,56,大原浩司,1:51.9,3/4,34.1,7,467(+3),[地] 今津博之
6,7,7,10,カツゲキキトキト,牡9,56,丹羽克輝,1:52.0,1/2,36.5,8,528(+5),[地] 錦見勇夫
7,8,5,6,クインザヒーロー,牡9,56,塚本征吾,1:52.1,1/2,17.9,5,480(+1),[地] 迫田清美
8,9,8,11,グリグリグリタロウ,牡5,56,加藤聡一,1:52.9,4,20.9,6,499(+2),[地] 川西毅
9,10,4,4,ダノンボヌール,牝5,54,大畑雅章,1:53.6,3,74.0,11,489(-3),[地] 安部幸夫
10,11,3,3,エッシャー,セ8,54,宮下瞳,1:54.5,4,39.0,9,492(+7),[地] 瀬戸口悟
11,12,2,2,コスモヴァーズ,牡8,56,保園翔也,1:58.4,大,486.4,12,458(0),[地] 坂口義幸
