,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,5,クリソライト,牡3,56,内田博幸,2:04.8,,2.2,1,493(-5),[西] 音無秀孝
1,2,5,10,エーシンゴールド,牡3,56,川田将雅,2:06.1,7,2.8,2,515(-3),[西] 野中賢二
2,3,8,16,ケイアイレオーネ,牡3,56,幸英明,2:06.1,ハナ,18.9,5,548(+6),[西] 西浦勝一
3,4,5,9,インサイドザパーク,牡3,56,左海誠二,2:06.8,3.1/2,48.2,8,456(+3),[地] 林正人
4,5,7,13,ベストウォーリア,牡3,56,戸崎圭太,2:06.8,ハナ,4.7,3,506(-2),[西] 石坂正
5,6,3,6,ソルテ,牡3,56,真島大輔,2:07.1,1.1/2,124.7,10,461(0),[地] 寺田新太
6,7,7,14,トラバージョ,牡3,56,繁田健一,2:07.6,2.1/2,287.0,13,493(-3),[地] 佐藤賢二
7,8,2,4,ジェネラルグラント,牡3,56,石崎駿,2:07.8,1,23.8,7,515(+2),[地] 出川克己
8,9,4,8,アルムダプタ,牡3,56,三浦皇成,2:08.0,1,194.0,12,489(+5),[西] 五十嵐忠
9,10,6,11,チャーリーブレイヴ,牡3,56,岩田康誠,2:08.4,2,10.4,4,501(+5),[東] 尾関知人
10,11,8,15,アウトジェネラル,牡3,56,御神本訓,2:08.5,3/4,20.3,6,511(-1),[地] 川島正行
11,12,1,1,ミータロー,牡3,56,服部茂史,2:08.6,クビ,155.7,11,475(-1),[地] 田中淳司
12,13,6,12,キタサンオーゴン,牡3,56,山田信大,2:08.6,アタマ,428.3,14,456(+4),[地] 佐藤賢二
13,14,4,7,ダイリングローバル,牡3,56,山口勲,2:10.4,9,445.1,16,518(-5),[地] 東真市
14,15,2,3,アラマサシャープ,牝3,54,本橋孝太,2:10.6,1,437.6,15,398(-3),[地] 別府真司
15,16,1,2,ユメノアトサキ,牝3,54,坂本和也,2:11.6,5,123.0,9,442(+2),[地] 新子雅司
