,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,6,メジログリーン,牡5,56,横山典弘,1:53.9,,---,2,472(+8),[東] 奥平真治
1,2,4,7,ニッケルスイソ,牡7,54,江川伸幸,1:54.7,4,---,3,505(+5),[地] 山田秀太
2,3,7,13,ドリームサラ,牝6,54,森下博,1:54.8,クビ,---,12,464(+4),[地] 寺田新太
3,4,4,8,ヤスミダブリン,牡5,54,今野忠成,1:54.9,1/2,---,8,470(-3),[地] 大山二三
4,5,3,5,ヤマニンデューク,牡7,54,真島大輔,1:54.9,ハナ,---,10,486(+3),[地] 佐藤寿
5,6,2,3,タカオライアン,牡5,56,山田信大,1:54.9,クビ,---,5,504(0),[地] 大山一男
6,7,5,9,ベルモントシーザー,牡6,56,的場文男,1:55.1,1,---,4,459(+11),[地] 蛯名末五
7,8,8,16,シーサーハーン,牡4,54,石崎隆之,1:55.3,1,---,6,476(-2),[地] 松浦備
8,9,1,2,コマノブリザード,牡6,56,酒井忍,1:55.6,1.1/2,---,14,504(+4),[地] 辻野豊
9,10,1,1,エビスイーグル,牡6,56,武豊,1:56.1,2.1/2,---,1,505(+3),[東] 加藤征弘
10,11,6,11,オレンジパワー,牝5,54,鈴来直人,1:56.4,1.1/2,---,16,517(+3),[東] 平井雄二
11,12,8,15,ミヤビペルセウス,牡4,56,早田秀治,1:56.6,1,---,9,476(0),[東] 戸田博文
12,13,5,10,ニシノハーロック,牡4,56,内田博幸,1:56.7,1/2,---,7,514(+1),[西] 松田正弘
13,14,2,4,フジアンジュ,牝5,54,左海誠二,1:56.7,クビ,---,15,432(-4),[東] 中野栄治
14,15,6,12,ヒロショウグン,牡5,56,江田照男,1:56.8,クビ,---,11,463(-1),[東] 中野栄治
15,16,7,14,エイシンフジサン,牡6,56,鈴木啓之,1:57.9,5,---,13,495(+7),[西] 湯浅三郎
