,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,4,リベイクフルシティ,セ2,54,和田譲治,1:12.8,,4.6,3,492(+2),[地] 宗形竹見
1,2,5,6,ポリゴンウェイヴ,牡2,54,左海誠二,1:12.9,1/2,1.9,1,472(0),[地] 小久保智
2,3,1,1,ピノホホッア,牡2,54,山崎誠士,1:13.5,3,21.5,6,526(-3),[地] 野口孝
3,4,6,8,ポーチュラカ,牝2,54,小杉亮,1:13.9,2,38.7,7,484(+12),[地] 渋谷信博
4,5,7,10,ナックサンライズ,牡2,54,達城龍次,1:14.1,1,3.6,2,473(+4),[地] 立花伸
5,6,3,3,グリーリー,牡2,54,古岡勇樹,1:14.2,1/2,45.4,8,463(+10),[地] 岩本洋
6,7,2,2,サンドエンプレス,牝2,54,矢野貴之,1:14.7,2.1/2,18.8,5,494(+3),[地] 藤田輝信
7,8,8,11,ジンステージ,牡2,54,東原悠善,1:14.7,クビ,280.2,12,515(+10),[地] 赤嶺本浩
8,9,7,9,ブルマリンシェール,牡2,54,西啓太,1:14.7,ハナ,12.4,4,472(-4),[地] 佐野謙二
9,10,8,12,キュアドリーム,牝2,54,本田正重,1:15.1,2,73.2,9,450(-6),[地] 山下貴之
10,11,5,5,ロアリングルックス,牡2,54,安藤洋一,1:15.6,2.1/2,165.2,10,475(+4),[地] 赤嶺亮
11,12,6,7,ラドリオ,牡2,54,岡村健司,1:16.5,4,168.2,11,480(+8),[地] 久保杉隆
